CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
0.15,7794549,1.195,8521652,1.09,0.043600906
0.921,7711006,1.195,8490192,1.1,0.007002729
0.92,7743150,1.195,8503698,1.1,0.007043788
0.916,7684619,1.195,8487354,1.1,0.007021207
0.916,7685944,1.196,8485324,1.1,0.007021762
0.922,7768569,1.193,8495490,1.09,0.007065363
0.911,7685019,1.195,8491173,1.1,0.007055226
0.92,7683348,1.195,8490319,1.11,0.006990035
0.932,7674707,1.195,8495644,1.11,0.006888139
0.912,7676426,1.195,8487506,1.11,0.007038847
0.923,7683547,1.195,8488030,1.1,0.006959977
0.906,7714129,1.384,8488571,1.1,0.006153238
0.907,7742079,1.977,8476555,1.09,0.004317719
0.906,7763088,1.984,8485897,1.09,0.004317124
0.915,7712614,1.985,8472705,1.1,0.004246022
0.883,7724897,1.992,8495555,1.1,0.004391579
0.92,7683227,1.992,8476847,1.1,0.004192024
0.927,7662284,1.993,8480958,1.11,0.004148492
0.899,7663938,1.992,8464504,1.1,0.004278116
0.914,7667123,1.992,8469269,1.1,0.004208715
0.921,7665862,1.993,8485665,1.11,0.004178924
0.884,7665087,1.993,8483296,1.11,0.004351312
0.915,7663105,1.993,8482240,1.11,0.0042037
0.892,7679802,1.992,8485839,1.1,0.004324385
0.919,7682759,1.993,8487313,1.1,0.004195222
