unit.000018,300.21520018577576,4887.587499856949,xsede.supermic
unit.000019,300.21520018577576,4884.574100017548,xsede.supermic
unit.000010,300.21520018577576,4880.653599977493,xsede.supermic
unit.000011,300.21520018577576,4898.665500164032,xsede.supermic
unit.000012,300.21520018577576,4900.658499956131,xsede.supermic
unit.000013,300.21520018577576,4900.649899959564,xsede.supermic
unit.000014,300.21520018577576,4891.62900018692,xsede.supermic
unit.000015,300.21520018577576,4885.611999988556,xsede.supermic
unit.000016,300.21520018577576,4895.615000009537,xsede.supermic
unit.000017,300.21520018577576,4876.582200050354,xsede.supermic
unit.000002,11478.771899938583,5664.529700040817,xsede.bridges
unit.000081,1068.6091001033783,16054.503900051117,osg.xsede-virt-clust
unit.000027,682.4182999134064,6895.101699829102,osg.xsede-virt-clust
unit.000307,42841.31060004234,5021.590600013733,xsede.comet_ssh
unit.000021,300.21520018577576,4872.538899898529,xsede.supermic
unit.000020,300.21520018577576,4874.551300048828,xsede.supermic
unit.000022,300.21520018577576,4874.533299922943,xsede.supermic
unit.000003,11478.771899938583,5342.068500041962,xsede.bridges
unit.000310,42841.31060004234,5029.56450009346,xsede.comet_ssh
unit.000001,11478.771899938583,5696.604599952698,xsede.bridges
unit.000300,42841.31060004234,5013.681799888611,xsede.comet_ssh
unit.000301,42841.31060004234,5021.657899856567,xsede.comet_ssh
unit.000302,42841.31060004234,5040.66890001297,xsede.comet_ssh
unit.000303,42841.31060004234,5014.628400087357,xsede.comet_ssh
unit.000304,42841.31060004234,5062.671900033951,xsede.comet_ssh
unit.000305,42841.31060004234,5050.646999835968,xsede.comet_ssh
unit.000306,42841.31060004234,5024.605400085449,xsede.comet_ssh
unit.000308,42841.31060004234,5034.594099998474,xsede.comet_ssh
unit.000309,42841.31060004234,5230.791300058365,xsede.comet_ssh
unit.000007,11478.771899938583,5391.982499837875,xsede.bridges
unit.000198,1940.5195999145508,11060.935100078583,osg.xsede-virt-clust
unit.000006,11478.771899938583,5381.003299951553,xsede.bridges
unit.000115,1520.0650000572205,14469.466600179672,osg.xsede-virt-clust
unit.000117,1115.2402000427246,9694.869699954987,osg.xsede-virt-clust
unit.000113,1159.9602000713348,12303.726799964905,osg.xsede-virt-clust
unit.000112,1152.4182000160217,12392.907299995422,osg.xsede-virt-clust
unit.000005,11478.771899938583,5435.104300022125,xsede.bridges
unit.000000,11478.771899938583,5586.592200040817,xsede.bridges
unit.000004,11478.771899938583,5361.048500061035,xsede.bridges
unit.000201,1946.332200050354,9435.887799978256,osg.xsede-virt-clust
unit.000202,1902.2378001213074,9573.610399961472,osg.xsede-virt-clust
unit.000101,1095.243499994278,9240.91219997406,osg.xsede-virt-clust
unit.000197,1942.8808999061584,9213.686400175095,osg.xsede-virt-clust
unit.000100,1080.2513000965118,9209.908799886703,osg.xsede-virt-clust
unit.000181,2230.867700099945,15161.68330001831,osg.xsede-virt-clust
unit.000186,1911.486400127411,7312.947200059891,osg.xsede-virt-clust
unit.000187,1980.661600112915,12193.874599933624,osg.xsede-virt-clust
unit.000009,11478.771899938583,5367.874799966812,xsede.bridges
unit.000064,824.9539999961853,10730.943000078201,osg.xsede-virt-clust
unit.000008,11478.771899938583,5500.070699930191,xsede.bridges
unit.000078,1027.7063999176025,9961.449599981308,osg.xsede-virt-clust
