supermic,552.627300755,109.6626308754,55220
stampede,688.7975860503,73.5904526234,3104
gordon,769.2452160267,59.4203061421,1797
comet,663.4956866279,45.6664418075,2064
bridges,675.1453032068,156.6122557501,9511
