CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.001,1505195761564,2.897,1717181171934,1.14,519.175694918
1.001,1504374311864,2.898,1717361481325,1.14,518.776654709
1.001,1506363341127,2.898,1717268358868,1.14,519.463521547
1.001,1505379168155,2.898,1717266807308,1.14,519.125699992
1.001,1505144021806,2.898,1717252165130,1.14,519.044754402
1.001,1506548466130,2.898,1717260990792,1.14,519.530033939
1.001,1506553421317,2.898,1717262271728,1.14,519.532076597
1.001,1505230731746,2.898,1717252887383,1.14,519.075706315
1.001,1506339531285,2.898,1717262794552,1.14,519.457339085
1.001,1506633558033,2.898,1717255939124,1.14,519.559837451
1.001,1505586008328,2.898,1717247189980,1.14,519.198943418
1.001,1505925703910,2.898,1717255795324,1.14,519.314448158
1.001,1506468538597,2.898,1717256229590,1.14,519.504391625
1.001,1505937783846,2.898,1717255953365,1.14,519.319067656
1.001,1506105835020,2.898,1717250452621,1.14,519.378080498
1.001,1505813001907,2.898,1717239383420,1.14,519.276535106
1.001,1505386504963,2.898,1717229896074,1.14,519.130180712
1.001,1505639017121,2.898,1717178028869,1.14,519.218321466
1.001,1505363425672,2.898,1717220446354,1.14,519.122719028
1.001,1505196281890,2.898,1717231457884,1.14,519.065298439
1.001,1505443751137,2.898,1717232113492,1.14,519.150041126
1.001,1505203672499,2.898,1717231048405,1.14,519.069156838
1.001,1506333776079,2.898,1717220776012,1.14,519.456853188
1.001,1505160749650,2.898,1717229762199,1.14,519.052341731
1.001,1505135421997,2.898,1717222493818,1.14,519.043650256
1.001,1506360536119,2.898,1717218663426,1.14,519.466976439
1.001,1504553831989,2.898,1717181769763,1.14,518.842037024
1.001,1505114781570,2.898,1717222165869,1.14,519.035222329
1.001,1505175668015,2.898,1717221593433,1.14,519.055143744
1.001,1505202009968,2.898,1717220542046,1.14,519.065564584
1.001,1504836180451,2.898,1717211243575,1.14,518.938621089
1.001,1505484069763,2.898,1717283392596,1.14,519.160876237
1.001,1505033453266,2.898,1717212236004,1.14,519.005951857
1.001,1505021673859,2.898,1717220145567,1.14,519.000527741
1.001,1504622708377,2.898,1717215414411,1.14,518.859792607
1.001,1504737617533,2.898,1717205993492,1.14,518.901887932
1.001,1505200441082,2.898,1717208125520,1.14,519.06004867
1.001,1504490926515,2.898,1717198331358,1.14,518.815656294
1.001,1504544944769,2.898,1717206484544,1.14,518.832616588
1.001,1504495198716,2.898,1717199071239,1.14,518.818037544
1.001,1504711851507,2.898,1717206499727,1.14,518.891376933
1.001,1506165763069,2.898,1717203790188,1.14,519.394546776
1.001,1504790788626,2.898,1717200766468,1.14,518.9191503
1.001,1505786053993,2.898,1717208077721,1.14,519.262876874
1.001,1504932995482,2.898,1717199114312,1.14,518.967845156
1.001,1504661749660,2.898,1717206954274,1.14,518.87693594
1.001,1504653073290,2.898,1717197072555,1.14,518.870505783
1.001,1505676704848,2.898,1717299343919,1.14,519.226369416
1.001,1504841719645,2.898,1717206896838,1.14,518.939371091
1.001,1506267469273,2.898,1717208340115,1.14,519.431127685
1.001,1504909962254,2.898,1717200373239,1.14,518.96155713
1.001,1505298031175,2.898,1717162996895,1.14,519.096620891
1.001,1505694883465,2.898,1717189702218,1.14,519.235523628
1.001,1505826538274,2.898,1717210057096,1.14,519.280071967
1.001,1505961426178,2.898,1717220460636,1.14,519.326183267
1.001,1506999672999,2.898,1717214252643,1.14,519.683995221
1.001,1505224371357,2.898,1717155094552,1.14,519.072915194
1.001,1507431642807,2.898,1717340151679,1.14,519.83179776
1.001,1505880267905,2.898,1717221218021,1.14,519.297812739
1.001,1505933740925,2.898,1717220202557,1.14,519.314676125
1.001,1505913173830,2.898,1717214714123,1.14,519.307747811
1.001,1506867942475,2.898,1717213994857,1.14,519.638335735
1.001,1504760061250,2.898,1717160967305,1.14,518.910166292
1.001,1508508904757,2.898,1717164286743,1.14,520.20334838
1.001,1505537110508,2.898,1717191782829,1.14,519.178487597
1.001,1506387562471,2.898,1717221591186,1.14,519.471333058
1.001,1505783831424,2.898,1717212531938,1.14,519.262352176
1.001,1505645661588,2.898,1717210351403,1.14,519.216044045
1.001,1505979649773,2.898,1717221501272,1.14,519.334295047
1.001,1505833330269,2.898,1717216281013,1.14,519.283880321
1.001,1505954485335,2.898,1717214721935,1.14,519.323424683
1.001,1505505133754,2.898,1717186043199,1.14,519.168687735
1.001,1507549433278,2.898,1717208147861,1.14,519.8750028
1.001,1506030977763,2.898,1717215977597,1.14,519.348752118
1.001,1505994866875,2.898,1717219826455,1.14,519.337035469
1.001,1506097072394,2.898,1717219893773,1.14,519.372385507
1.001,1506004946187,2.898,1717219225598,1.14,519.340774675
1.001,1505879263978,2.898,1717214238503,1.14,519.296840864
1.001,1505941627590,2.898,1717216488065,1.14,519.319826873
1.001,1506020326968,2.898,1717221317625,1.14,519.349626376
1.001,1504948840368,2.898,1717161783749,1.14,518.979037065
1.001,1505847535588,2.898,1717208640350,1.14,519.290216352
1.001,1505829463073,2.898,1717184398057,1.14,519.284797794
1.001,1505006163849,2.898,1717165712001,1.14,519.001196055
1.001,1508576703844,2.898,1717167893247,1.14,520.2294151
1.001,1505500380504,2.898,1717187957265,1.14,519.169805964
1.001,1505989587167,2.898,1717215017397,1.14,519.337946045
1.001,1506049750720,2.898,1717220249181,1.14,519.357979984
1.001,1505824273626,2.898,1717212651487,1.14,519.27891739
1.001,1505038989908,2.898,1717166783415,1.14,519.01010709
1.001,1508207702156,2.898,1717169903549,1.14,520.103144641
1.001,1506030372187,2.898,1717219110060,1.14,519.351506691
1.001,1506079371418,2.898,1717220665256,1.14,519.369629579
1.001,1505941850707,2.898,1717220523346,1.14,519.324275556
1.001,1505893494860,2.898,1717216076877,1.14,519.306818788
1.001,1506001905604,2.898,1717220714156,1.14,519.34267198
1.001,1507292639699,2.898,1717220598104,1.14,519.785533073
1.001,1506866869510,2.898,1717220220907,1.14,519.637989524
1.001,1505645545777,2.898,1717212894264,1.14,519.216423218
1.001,1505591436172,2.898,1717217693774,1.14,519.197409884
1.001,1505584165790,2.898,1717210413518,1.14,519.196521491
1.001,1505083804801,2.898,1717155597333,1.14,519.024782704
1.001,1504838568930,2.898,1717157329200,1.14,518.942168729
1.001,1506232595259,2.898,1717166618311,1.14,519.421136932
1.001,1506209746584,2.898,1717287067054,1.14,519.411548442
1.001,1505645482184,2.898,1717213025692,1.14,519.217599711
