CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,1505895239822.0,1505329690110.0,1505014840117.0,1504979445361.0,1505281015921.0,1505998517758.0,1505109695515.0,1505742768241.0,1504762269578.0,1505004535934.0,1506531989182.0,1509619056793.0,1505700266988.0,1506402336580.0,1506762674516.0,1505841171295.0,1509430060908.0,1505826770930.0,1510014984107.0,1504591449415.0,1510386635327.0,1504763272496.0,1504564352666.0,1504738756595.0,1506981540312.0,1505765302088.0,1506829848893.0,1507452969597.0,1505370390975.0,1505395407231.0,1505161573980.0,1505129164661.0,1506687540941.0,1505244591351.0,1506567448102.0,1504997916725.0,1504672429364.0,1504814448672.0,1504817322425.0,1504630928237.0,1504679045022.0,1504605121390.0,1504868639320.0,1505641235081.0,1505891370587.0,1505584462003.0,1507524399307.0,1506576101630.0,1505829456759.0,1506863474054.0,1505796022036.0,1510064462596.0,1505840262328.0,1506178627198.0,1505850506502.0,1505660243687.0,1505665918079.0,1505532128131.0,1506505506981.0,1505521328259.0,1506684203220.0,1505657994991.0,1505423847059.0,1506219554513.0,1506177344956.0,1506451526538.0,1506495250107.0,1505846151791.0,1506132813582.0,1506306572478.0,1505670451914.0,1506566180390.0,1510621126433.0,1507904350147.0,1506491239181.0,1505655821515.0,1506943034070.0,1507052571990.0,1506310952433.0,1506510719277.0,1507364939194.0,1506603744221.0,1505503321364.0,1506425741781.0,1506657148463.0,1506535770360.0,1505863695284.0,1506136547186.0,1508835187106.0,1508212739577.0,1506327449873.0,1505356563031.0,1505466217563.0,1505987030495.0,1505662690570.0,1505636500389.0,1505867464014.0,1505539835688.0,1505707024080.0,1505355263757.0,1505768845810.0,1505842026221.0,1505614548342.0,1506030426050.0,1505785032897.0,1508927511002.0,1507052786670.0,1509979270019.0,1505692584900.0,1505714328816.0,1509291787306.0,1505752956197.0,1506864326010.0,1505575444952.0,1505636829118.0,1508218860310.0,1509766681621.0,1507111678635.0,1507803280185.0,1506010798479.0,1508008502648.0,1508799606686.0,1507584621689.0,1505763974181.0,1505377956731.0,1506112684929.0,1505736401375.0,1505689723585.0,1505833444236.0,1505243166126.0,1506039597590.0,1505899869930.0,1505876425708.0,1510223485667.0,1507739519525.0,1504996946513.0,1509831219747.0,1509246669868.0,1507058755146.0
clock speed,2.897,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.9,2.91,2.937,2.935,2.942,2.944,2.942,2.939,2.935,2.935,2.924,2.904,2.904,2.904,2.904,2.905,2.923,2.939,2.917,2.898,2.898,2.898,2.898,2.898,2.898,2.913,2.949,2.905,2.905,2.905,2.905,2.905,2.905,2.905,2.914,2.939,2.942,2.943,2.939,2.942,2.944,2.941,2.943,2.935,2.945,2.942,2.937,2.944,2.946,2.947,2.941,2.947,2.937,2.915,2.911,2.933,2.936,2.926,2.938,2.942,2.937,2.938,2.943,2.933,2.903,2.904,2.905,2.93,2.93,2.926,2.924,2.928,2.908,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898,2.898
instructions,1717365879982.0,1717271413234.0,1717268317512.0,1717288869085.0,1717286126922.0,1717282612664.0,1717275429297.0,1717306821933.0,1717282618700.0,1717270110723.0,1717252411697.0,1717381359081.0,1717243061275.0,1717345777106.0,1717376077865.0,1717253370185.0,1717258730206.0,1717256426647.0,1717258978292.0,1717246644189.0,1717338795297.0,1717240287219.0,1717243019473.0,1717246524008.0,1717302111688.0,1717252521464.0,1717269454235.0,1717273300241.0,1717286355191.0,1717315076438.0,1717271242346.0,1717269593812.0,1717279335867.0,1717288887998.0,1717231057489.0,1717276640755.0,1717254066910.0,1717250865087.0,1717249250756.0,1717243622220.0,1717244864057.0,1717243979011.0,1717248586918.0,1717239870577.0,1717231641612.0,1717229760566.0,1717254240660.0,1717367959507.0,1717248924632.0,1717374007771.0,1717252803787.0,1717382499145.0,1717250587000.0,1717251876374.0,1717254064117.0,1717244542415.0,1717250230428.0,1717237924128.0,1717350670837.0,1717242739300.0,1717258225786.0,1717265521211.0,1717265089424.0,1717256631244.0,1717259153021.0,1717278299721.0,1717331534165.0,1717254802953.0,1717256550343.0,1717253847774.0,1717253358798.0,1717249170531.0,1717410227151.0,1717291112013.0,1717239179761.0,1717242634258.0,1717381889591.0,1717260966251.0,1717262372977.0,1717259110392.0,1717287927784.0,1717355163270.0,1717298800904.0,1717340684651.0,1717306808760.0,1717306816331.0,1717280411839.0,1717308665037.0,1717450685163.0,1717416663898.0,1717308947790.0,1717277652729.0,1717280162423.0,1717305681150.0,1717303538682.0,1717303340963.0,1717303482023.0,1717268348354.0,1717303488144.0,1717276434106.0,1717300625890.0,1717306066330.0,1717305125577.0,1717301071907.0,1717306197189.0,1717311584577.0,1717306775140.0,1717451777493.0,1717307824443.0,1717303212207.0,1717453190795.0,1717305237171.0,1717304913440.0,1717302159418.0,1717306843626.0,1717453040958.0,1717454704510.0,1717308352432.0,1717306269926.0,1717304218658.0,1717308027782.0,1717441231808.0,1717305953744.0,1717284652051.0,1717267452318.0,1717304582791.0,1717304768679.0,1717304631769.0,1717303436010.0,1717273380497.0,1717261764017.0,1717304046870.0,1717300875908.0,1717421299460.0,1717306886545.0,1717257341455.0,1717268511199.0,1717445665141.0,1717303384968.0
instructions per cycle,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",519.419521279,519.104328131,518.996342299,518.984328548,519.087932705,519.334560118,519.029353406,519.243779387,518.535301798,516.849081705,512.652220931,514.009705876,511.363765683,511.330821126,511.798959983,511.949552081,513.9033814,512.68958126,516.118393873,517.67150583,519.722819403,517.771704275,517.689971797,517.659840684,515.258728568,512.004923768,516.244530705,519.837924263,519.119974951,519.127597775,519.047507428,519.037614175,519.563568673,516.441508183,510.505132478,517.691388278,517.578901769,517.620818889,517.579807321,517.5964735,517.502783359,517.481479044,516.102199992,511.898248569,511.564283311,511.196447846,512.5103448,511.734114927,511.123963905,511.908663998,511.337378058,514.146328464,510.86950395,511.524191761,512.256986931,511.08736471,510.710904588,510.49336156,511.92661535,510.407165018,512.705683782,516.156277991,516.755856524,513.100944165,512.561009677,514.397682263,512.300213314,511.550815234,512.405407108,512.351986737,511.297750216,513.282028667,519.918955911,518.922412281,518.274314376,513.470285065,513.92176362,514.602803567,514.738377407,514.212590413,518.001922207,519.497192799,519.080038802,519.417658425,519.502705627,519.445848164,519.215779383,519.284343302,520.226984858,520.039880965,519.381674384,519.067584268,519.118385274,519.282062796,519.163001414,519.152530531,519.249495217,519.128943277,519.191173276,519.020240151,519.204546605,519.24274854,519.141665347,519.271738603,519.217705385,520.289219316,519.640821527,520.651968127,519.172694971,519.205700369,520.422217002,519.199181693,519.583848505,519.147944595,519.152756023,520.058031767,520.598636106,519.672739108,519.923204591,519.288062057,519.997356932,520.263740874,519.840689172,519.221421328,519.083165413,519.345645922,519.193349628,519.177653953,519.235918908,519.021343858,519.318247947,519.246297007,519.252666365,520.74857552,519.88332301,518.944970041,520.620191218,520.396983739,519.648215513
estimated number of instructions,1716720573397.0798,1716075846725.4,1715716917733.38,1715676567711.5398,1716020358149.94,1716838310244.1199,1715825052887.0999,1716546755794.7397,1715428987318.92,1715705170964.7598,1717446467667.4797,1720965724744.0198,1716498304366.3198,1717298663701.2,1717709448948.2397,1716658935276.2998,1720750269435.1199,1716642518860.2,1721417081881.9797,1715234252333.0999,1721840764272.7798,1715430130645.44,1715203362039.2397,1715402182518.2998,1717958955955.68,1716572444380.3198,1717786027738.0198,1718496385340.5798,1716122245711.4998,1716150764243.3398,1715884194337.2,1715847247713.5398,1717623796672.7397,1715978834140.14,1717486890836.2798,1715697625066.4998,1715326569474.96,1715488471486.0798,1715491747564.4998,1715279258190.18,1715334111325.0798,1715249838384.5999,1715550248824.7998,1716431007992.3398,1716716162469.18,1716366286683.42,1718577815209.9797,1717496755858.2,1716645580705.2598,1717824360421.5598,1716607465121.0398,1721473487359.44,1716657899053.92,1717043635005.72,1716669577412.2798,1716452677803.18,1716459146610.0598,1716306626069.3398,1717416277958.3398,1716294314215.2598,1717619991670.7998,1716450114289.7397,1716183185647.2598,1717090292144.8198,1717042173249.8398,1717354740253.3198,1717404585121.9797,1716664613041.7397,1716991407483.4797,1717189492624.92,1716464315181.96,1717485445644.5999,1722108084133.6199,1719010959167.5798,1717400012666.3398,1716447636527.0999,1717915058839.7998,1718039932068.5999,1717194485773.6199,1717422219975.7798,1718396030681.16,1717528268411.94,1716273786354.96,1717325345630.3398,1717589149247.8198,1717450778210.4,1716684612623.7598,1716995663792.0398,1720072113300.8398,1719362523117.7798,1717213292855.22,1716106481855.3398,1716231488021.8198,1716825214764.2998,1716455467249.7998,1716425610443.46,1716688908975.96,1716315412684.3198,1716506007451.2,1716105000682.9797,1716576484223.4,1716659909891.94,1716400585109.88,1716874685696.9998,1716594937502.5798,1720177362542.2798,1718040176803.7998,1721376367821.66,1716489546785.9998,1716514334850.2397,1720592637528.8398,1716558370064.5798,1717825331651.4,1716356007245.2798,1716425985194.5198,1719369500753.4,1721134017047.94,1718107313643.9,1718895739410.9,1716852310266.0598,1719129693018.72,1720031551622.0398,1718646468725.46,1716570930566.3398,1716130870673.3398,1716968460819.0598,1716539497567.4998,1716486284886.9,1716650126429.0398,1715977209383.64,1716885141252.5999,1716725851720.2,1716699125307.1199,1721654773660.38,1718823052258.4998,1715696519024.8198,1721207590511.5798,1720541203649.5198,1718046980866.44
instruction calculation error,-0.0003757537007355297,-0.0006962012523975944,-0.0009034114021667882,-0.0009388643940371348,-0.0007370750582657857,-0.00025872411250404845,-0.0008445799579709157,-0.00044259192856680303,-0.0010793979749723988,-0.0009112950539745713,0.00011300375481084283,0.0020871110799396534,-0.00043369335737901703,-2.7433849040839282e-05,0.0001941165290098747,-0.00034615445747307325,0.0020332051121388288,-0.0003574933698159011,0.002421360809605678,-0.0011718711826922998,0.0026214798082408695,-0.0010541079119984617,-0.0011877511864256689,-0.0010740109028699965,0.0003824861468517587,-0.00039602625425199165,0.0003008109774187393,0.0007122250718090054,-0.0006778773242921211,-0.0006779840290432525,-0.0008077046739018198,-0.0008282602240122806,0.00020058519225460704,-0.000762861663530215,0.00014898015393098837,-0.0009194882472785692,-0.0011224299724666529,-0.001026287793327668,-0.0010234409423830132,-0.0011439052702845963,-0.0011126850759104923,-0.0011612447915226452,-0.000988987911324042,-0.0004710248105224665,-0.000300180319491538,-0.0005028295586348775,0.000770750491477046,7.499636317712855e-05,-0.0003513433131830487,0.00026223329835085396,-0.00037579712464994166,0.0023821066165962694,-0.00034513771639786787,-0.00012126431255951439,-0.00034036122955443624,-0.0004611251293927254,-0.00046066892519386603,-0.0005423232538572441,3.820251882969728e-05,-0.0005522952946808447,0.00021066481404345705,-0.00047482868035761665,-0.0006300155889753301,-9.686327375523242e-05,-0.00012635237423451535,4.451260598369131e-05,4.253748069399723e-05,-0.000343682201526157,-0.00015439909631866292,-3.7475617925386426e-05,-0.00045948002488831007,0.0001375893013398828,0.002735430887944062,0.0010014884154171378,9.365783592372262e-05,-0.00046295014754490734,0.0003104546822295772,0.0004536094588468026,-3.95322255052031e-05,9.498251183687243e-05,0.0006452633127106504,0.00010079752030461393,-0.000596876064025936,-8.931844914204349e-06,0.00016440887928680095,8.383002852540627e-05,-0.00034694346428968195,-0.0001822626597842627,0.0015263484189015006,0.0011330152202921402,-5.5700481211099124e-05,-0.00068199272948029,-0.0006106600565981887,-0.0002797791860668913,-0.0004938389825080516,-0.00051110977228277,-0.00035787096076697297,-0.000554913663082164,-0.0004643795917877843,-0.0006821461005083333,-0.00042167437412119233,-0.0003762616639682284,-0.0005267208800860005,-0.00024828855986606816,-0.00041417173453656825,0.0016687583028129806,0.00042706502671313086,0.0022851240308992653,-0.0004764886325872581,-0.00045936987199041255,0.001827966404363318,-0.00043490643960913803,0.0003030435697976502,-0.000550952648333517,-0.0005129301351995663,0.0011158731852900594,0.0021423054292367327,0.0004652403924830609,0.0009255597051819963,-0.00026314987585212635,0.001060767903748027,0.0015082436394710814,0.0007805918208909863,-0.0004156104719201556,-0.000661854764163833,-0.00019572647467924005,-0.0004456233543734422,-0.00047652982875677475,-0.0003804275745689481,-0.0007547843739271027,-0.00021931587384741778,-0.00033668770003417934,-0.00035040487623460816,0.0024650178740132037,0.000882874066003477,-0.0009089042116761138,0.00229380512534383,0.0018024084088072946,0.00043300205714891634
predicted cycles,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0,11988595232.0
cycles prediction error,-124.61065001197632,-124.563476035288,-124.53721357610016,-124.5342612071766,-124.55941599421914,-124.61926469401382,-124.54512571227328,-124.59793195969,-124.51614600862354,-124.53635407731814,-124.66376293702531,-124.9212632989326,-124.5943868193147,-124.65294827529965,-124.68300500246633,-124.60614001510397,-124.90549865917768,-124.60493884309665,-124.95428862895152,-124.50189745325117,-124.98528902664683,-124.51622966462999,-124.49963724273647,-124.51418472937898,-124.70126116941205,-124.59981156664678,-124.68860819247317,-124.7405843157755,-124.56687100060398,-124.5689576717707,-124.54945303036152,-124.54674968452551,-124.67673791499311,-124.55637772582361,-124.66672065803547,-124.53580195182954,-124.50865220202974,-124.52049840296084,-124.52073811019463,-124.50519048477288,-124.50920403132015,-124.50303786834864,-124.52501858626434,-124.58946281396983,-124.61032726899225,-124.58472722344389,-124.7465424542077,-124.66744247137828,-124.6051628750994,-124.69141295486186,-124.60237399764102,-124.95841575878137,-124.60606419579551,-124.6342880922114,-124.60691868907031,-124.59104837137936,-124.59152168721748,-124.58036191866987,-124.6615539875623,-124.57946107317538,-124.6764595069782,-124.59086080178038,-124.57132991200815,-124.63770194631257,-124.63418113706152,-124.65705133800617,-124.66069843494738,-124.60655545126673,-124.63046665899813,-124.64496034175558,-124.59189986622113,-124.66661491487079,-125.00484854145753,-124.77823514485638,-124.6603638731474,-124.59067950647781,-124.69804926332506,-124.70718610695688,-124.64532568522704,-124.66198875876769,-124.733241470238,-124.66974821199803,-124.57795907109328,-124.65490056416645,-124.67420279912575,-124.66407833494533,-124.60801879977926,-124.63077808864671,-124.85587868365194,-124.80395871163232,-124.64670177973025,-124.56571757572539,-124.57486414626831,-124.618306511443,-124.59125247227297,-124.58906788095989,-124.60833315937911,-124.58100482610405,-124.594950445984,-124.56560919989195,-124.60010715774243,-124.60621132671167,-124.58723680345871,-124.62192624788085,-124.60145736489237,-124.86357966063993,-124.70720401397567,-124.95130962371289,-124.59374603631626,-124.59555975306782,-124.89396489735454,-124.59878176367478,-124.69148401873412,-124.58397508769941,-124.58909530110324,-124.8044692579375,-124.93357707090865,-124.7121163463933,-124.76980463568961,-124.62028906098612,-124.78692277664179,-124.85291082800984,-124.75156576017763,-124.59970080246012,-124.56750208004686,-124.62878767554673,-124.59740088278927,-124.5935073665685,-124.60549548095712,-124.55625884408873,-124.6226912699558,-124.61103622136201,-124.60908067765183,-124.97168028793784,-124.76448619272227,-124.53572102391587,-124.93896036434305,-124.8902015341642,-124.70770186012733
