CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.001,1503307120830,2.897,1717167709823,1.14,518.520216131
1.001,1503175308841,2.898,1717160257680,1.14,518.352257843
1.001,1503171621037,2.898,1717160418324,1.14,518.351361799
1.001,1503301294009,2.898,1717159195767,1.14,518.396118044
1.001,1503199384240,2.898,1717160698419,1.14,518.360597713
1.001,1503322384440,2.898,1717160805334,1.14,518.404311549
1.001,1503301430148,2.898,1717159087144,1.14,518.396368305
1.001,1503174598060,2.898,1717164500193,1.14,518.352166939
1.001,1503096311287,2.898,1717156271418,1.14,518.325115558
1.001,1503268124241,2.898,1717155470169,1.14,518.383665514
1.001,1503089042547,2.898,1717155504835,1.14,518.324270436
1.001,1503121988279,2.898,1717155607351,1.14,518.33318907
1.001,1503437536580,2.898,1717153500746,1.14,518.443149376
1.001,1503121716903,2.898,1717154908743,1.14,518.333610521
1.001,1503066920009,2.898,1717154946770,1.14,518.315824783
1.001,1503302347817,2.898,1717182737857,1.14,518.39635647
1.001,1503055903495,2.898,1717153852950,1.14,518.310289717
1.001,1503077978384,2.898,1717154101517,1.14,518.318777956
1.001,1503070149287,2.898,1717155522274,1.14,518.316571281
1.001,1503395183030,2.898,1717153535918,1.14,518.427843736
1.001,1503258078062,2.898,1717153470301,1.14,518.380537435
1.001,1503072479326,2.898,1717154741408,1.14,518.317482107
1.001,1503091056167,2.898,1717154430850,1.14,518.324515977
1.001,1503059543199,2.898,1717153491608,1.14,518.31205482
1.001,1503067299754,2.898,1717158659724,1.14,518.315089532
1.001,1503422932131,2.898,1717354443958,1.14,518.438099607
1.001,1503223681801,2.898,1717153053531,1.14,518.369179359
1.001,1503380374957,2.898,1717153271869,1.14,518.422104884
1.001,1505161358268,2.898,1717187191445,1.14,519.037149166
1.001,1503065159373,2.898,1717154222832,1.14,518.313548387
1.001,1503053874224,2.898,1717154228751,1.14,518.310028685
1.001,1503077574115,2.898,1717154598120,1.14,518.317944914
1.001,1503191401839,2.898,1717153657404,1.14,518.358016951
1.001,1503192084181,2.898,1717152860839,1.14,518.357366097
1.001,1503087726064,2.898,1717154104152,1.14,518.322294576
1.001,1503180976064,2.898,1717153535758,1.14,518.354755285
1.001,1503215155964,2.898,1717198939564,1.14,518.367011479
1.001,1503067431984,2.898,1717154633612,1.14,518.315460986
1.001,1503104516005,2.898,1717154463170,1.14,518.32697719
1.001,1503074745891,2.898,1717154468928,1.14,518.317573448
1.001,1503074309270,2.898,1717153969724,1.14,518.316577813
1.001,1503379923234,2.898,1717345592107,1.14,518.422632999
1.001,1503149847000,2.898,1717154248412,1.14,518.343485358
1.001,1503367387016,2.898,1717153077032,1.14,518.41751873
1.001,1503059284303,2.898,1717154457655,1.14,518.311911089
1.001,1503065934975,2.898,1717154194997,1.14,518.314440692
1.001,1503062607842,2.898,1717154350681,1.14,518.313397034
1.001,1503102255820,2.898,1717156407282,1.14,518.3262116
1.001,1503048675366,2.898,1717154275541,1.14,518.308225047
1.001,1503061168144,2.898,1717154541070,1.14,518.31300007
1.001,1503322427806,2.898,1717345237879,1.14,518.402748387
1.001,1503073030609,2.898,1717154672900,1.14,518.316157533
1.001,1503063654023,2.898,1717153347397,1.14,518.312883407
1.001,1503096549006,2.898,1717184167939,1.14,518.325404959
1.001,1503070011449,2.898,1717153648824,1.14,518.31512315
1.001,1503258013341,2.898,1717154084932,1.14,518.380541496
1.001,1503257961018,2.898,1717158835848,1.14,518.380741806
1.001,1503133644530,2.898,1717156121563,1.14,518.337950451
1.001,1503190752258,2.898,1717152983702,1.14,518.356727185
1.001,1503056792296,2.898,1717153655437,1.14,518.311062038
1.001,1503069398253,2.898,1717154199430,1.14,518.316023325
1.001,1505828641380,2.898,1717351863011,1.14,519.266791786
1.001,1503254722444,2.898,1717154385527,1.14,518.37879691
1.001,1503060306708,2.898,1717153563861,1.14,518.31174458
1.001,1503082637801,2.898,1717154484608,1.14,518.320658725
1.001,1503199412293,2.898,1717153041346,1.14,518.35972601
1.001,1503072895929,2.898,1717154690542,1.14,518.316645025
1.001,1503089618388,2.898,1717154157145,1.14,518.322295335
1.001,1503078711244,2.898,1717154475372,1.14,518.320100157
1.001,1503076982856,2.898,1717154066777,1.14,518.31749272
1.001,1503094258622,2.898,1717154402145,1.14,518.323504642
1.001,1503081011480,2.898,1717154960006,1.14,518.319844402
1.001,1503214086046,2.898,1717155474182,1.14,518.36564911
1.001,1503194761024,2.898,1717153403721,1.14,518.358686376
1.001,1503311765800,2.898,1717337473072,1.14,518.398390671
1.001,1503267377666,2.898,1717154688854,1.14,518.384109481
1.001,1503177127245,2.898,1717153755564,1.14,518.352282121
1.001,1503411270492,2.898,1717153061122,1.14,518.433998844
1.001,1503054079542,2.898,1717154422608,1.14,518.310532947
1.001,1503292946548,2.898,1717154612511,1.14,518.393186326
1.001,1503058131556,2.898,1717154545558,1.14,518.311824713
1.001,1503209896901,2.898,1717153277429,1.14,518.364457735
1.001,1503182073689,2.898,1717153322388,1.14,518.354658487
