CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.0,3127632677549,3.5,4000916728695,1.28,893.602553265
1.0,3147448946841,3.5,4001404382861,1.27,899.252796385
1.0,3147797750121,3.5,4000884865648,1.27,899.364666583
1.0,3147600645493,3.5,4000889341038,1.27,899.311013544
1.0,3145583373594,3.5,4000889307638,1.27,898.735544159
1.0,3160050222231,3.5,4001353970826,1.27,902.868406433
1.0,3146638248823,3.5,4000903661976,1.27,899.037432908
1.0,3128359021829,3.5,4000998927150,1.28,893.866427675
1.0,3128992686090,3.5,4000995820228,1.28,894.050959011
1.0,3147349119772,3.5,4001293408864,1.27,899.268606445
