avg_instr_calc,8000000,8000000000,80000000000,800000000000,2000000000000,4000000000000,6000000000000,8000000000000
Average,8485836.761999998,7991103509.210397,79900063228.5432,799047972296.6614,1997671734229.608,3996634195293.2695,5992546675493.303,7989781913034.432
Std,25976.622011807234,760451.4699057903,8305515.164862274,355160370.91577363,694727482.2552651,3162251927.334684,466825886.3707906,618493214.8770112
CI,13383.155660483088,391784.5972954632,4279001.412937043,182978623.09580657,565926900.3577226,2575979037.963543,380277639.25926906,503826258.39324516
