avg_instr_calc,8000000,8000000000,80000000000,800000000000,2000000000000,4000000000000,6000000000000,8000000000000
Average,8461017.1276,7993822500.8636,79980686111.49,799570244182.3126,1998091421576.5913,3997294922376.6963,5996694318930.799,7996606068989.531
Std,23668.244141910574,8781274.60219606,138013890.88806558,1221204694.581406,2225629935.2410145,2290067402.121117,7320198332.929326,8200938739.847686
CI,12193.879381912328,4524112.675051411,71104756.58553138,629164658.6483405,1813004210.6661756,1865495146.7955177,5963053511.443359,6680507047.165106
