Desktop_2.6GHz,,Desktop_3.5GHz,,Laptop_2.6GHz,,Laptop_3.5GHz,
0.0028299153,2.31926259119229E-05,0.0021820922,1.48867584326996E-05,0.0031585602,9.58148576144079E-06,0.0026355644,2.18568727746484E-05
2.3272752292,0.001153306,1.7950313528,0.0011103648,2.710540408,0.0004257543,2.020902051,0.0007005892
23.3541627563,0.0161405487,17.9556962494,0.0054485034,27.1339905993,0.0133276376,19.7681176139,0.012949169
233.0780237865,0.1324512662,179.8388120562,0.0806883144,271.230792671,0.0743235304,197.5408931604,0.0634035337
584.3469009952,0.399427459,449.4267179738,0.4441925456,676.7766845263,0.0313982936,493.6810980263,0.1916333556
1168.4056386311,1.508419017,897.9358406408,0.7884672315,1355.2343599105,0.9903717316,988.1204014886,0.7679591912
1748.9558807311,1.2094748248,1349.5654896102,1.0959281072,2030.2217592067,0.2062896384,1480.6574121746,0.9492324511
2334.7307621755,1.2993457219,1795.743591964,1.2275725145,2711.3431197701,1.1079055517,1988.2279404829,3.9695946622
