CPU utilized,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
cycles,1513746663473.0,1513996672841.0,1513733796916.0,1510907056990.0,1513485344194.0,1510585304577.0,1513518152447.0,1511283490838.0,1510791372565.0,1511614495146.0,1513304423679.0,1512412574844.0,1514377868299.0,1510928644174.0,1511330607621.0,1513316012681.0,1512712052811.0,1513117918504.0,1511971803159.0,1515077428002.0,1513586134495.0,1512210678608.0,1512646028296.0,1512773731689.0,1513048730326.0,1511251231258.0,1513672512432.0,1512160312915.0,1512284439130.0,1510752849609.0,1513597217747.0,1513889634797.0,1512698200115.0,1510896964725.0,1511665264776.0,1512914257971.0,1510149499566.0,1510525308930.0,1513249322438.0,1513252580365.0,1513391770614.0,1513574394463.0,1511315739376.0,1511855003931.0,1511751114399.0,1511758673247.0,1513212387729.0,1512216725848.0,1514562622910.0,1511159757767.0,1512012148998.0,1513908670224.0,1514058659564.0,1511004971445.0,1511125974528.0,1512692703775.0,1514359905870.0,1511784867156.0,1513718353346.0,1514211150788.0,1511607735557.0,1512178703526.0,1513037501919.0,1511453836842.0,1510465915337.0,1512531668647.0,1511849731321.0,1511809061359.0,1510344322812.0,1512653532764.0,1513072523099.0,1511128952020.0,1511612554994.0,1510798661021.0,1511474243118.0,1512174646403.0,1513112011215.0,1513202229026.0,1514875708677.0,1511981489340.0,1510909017924.0,1509179030210.0,1510286511257.0,1511258429854.0,1509450635419.0,1510377944995.0,1511808910999.0,1511928636702.0,1510877712850.0,1511244808834.0,1510834100084.0,1512853214897.0,1513874678320.0,1513299333073.0,1513697608467.0,1513829876305.0,1511716402992.0,1513978085631.0,1510403675141.0,1512539416245.0,1511901692202.0,1514076975800.0,1513304528611.0,1512259332422.0
clock speed,2.197,2.197,2.197,2.196,2.196,2.196,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.196,2.196,2.196,2.196,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.198,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.196,2.197,2.197,2.197,2.197,2.197,2.197,2.196,2.196,2.197,2.197,2.197
instructions,1717960357138.0,1717952365712.0,1717942791020.0,1717820054026.0,1717943413154.0,1717875658427.0,1717927876650.0,1717872562874.0,1717877627015.0,1717860117389.0,1717951768068.0,1717877087152.0,1717944443624.0,1717900502418.0,1717888861983.0,1717935643116.0,1717883561550.0,1717938875346.0,1717922143364.0,1717969048102.0,1717960486208.0,1717856121334.0,1717944989009.0,1717946771618.0,1717950949019.0,1717887781012.0,1717940088606.0,1717937305631.0,1717903684432.0,1717910516373.0,1717959428357.0,1717938652169.0,1717925139368.0,1717867338396.0,1717884329553.0,1717890677792.0,1717891992875.0,1717892040731.0,1717964718311.0,1717960149406.0,1717951048645.0,1717934639788.0,1717898053276.0,1717888048458.0,1717875634893.0,1717912145282.0,1717974278790.0,1717938955981.0,1717965279035.0,1717895069305.0,1717922533699.0,1717948624056.0,1717951566706.0,1717900250935.0,1717889357750.0,1717888119634.0,1717975198440.0,1717868196071.0,1717966704023.0,1717960900789.0,1717899599375.0,1717909196698.0,1717938716388.0,1717898037393.0,1717890369887.0,1717919158498.0,1717898596696.0,1717914623368.0,1717875047094.0,1717955069706.0,1717956972470.0,1717886050647.0,1717824263456.0,1717891598295.0,1717884388551.0,1717920145827.0,1717965017363.0,1717974235182.0,1717972912914.0,1717902264237.0,1717840937249.0,1717769338485.0,1717862506894.0,1717893640973.0,1717806287790.0,1717822907899.0,1717838967794.0,1717889387579.0,1717896966773.0,1717899781001.0,1717837106864.0,1717951776561.0,1717973957297.0,1717943396884.0,1717977046499.0,1717973961882.0,1717884659504.0,1717973211832.0,1717819975513.0,1717907540686.0,1717900241722.0,1717948134654.0,1717975389202.0,1717941137475.0
instructions per cycle,1.13,1.13,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.13,1.13,1.14,1.14,1.14,1.13,1.14,1.13,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.13,1.13,1.14,1.13,1.14,1.14,1.14,1.13,1.14,1.14
"time (s)
",689.51376982,689.588764569,689.522555744,688.294076754,689.670058363,688.332743605,689.468444492,688.24395522,688.061053237,688.511237951,689.276010321,688.807026005,689.792769436,688.228597764,688.355521394,689.313660387,689.014040169,689.109071787,688.620302727,690.063314957,689.703714128,689.057215769,689.273263732,689.341996965,689.46537312,688.648404973,689.331569812,688.76627908,688.7954425,688.101762517,689.272860074,689.347961265,688.834051243,687.980074852,688.509648322,689.073326932,687.632849222,687.843325652,689.183883738,689.106814817,689.179461627,689.173224001,688.270002829,688.412194517,688.269916267,688.462683242,689.154664314,688.838457768,689.902686586,688.275899494,688.746082371,689.532241805,689.582328689,688.25640496,688.340999548,689.118235227,689.755784817,688.47092989,689.345202419,689.572618306,688.552712348,688.800992842,689.098809648,688.411174903,687.852591635,688.832461815,688.632576393,688.604702821,687.909765666,689.090831415,689.243596295,688.287418587,688.569321301,688.169316549,688.468359316,688.814783665,689.168764849,689.244037249,690.021530018,688.735997478,688.162408063,687.514165424,687.838660902,688.237465208,687.531353545,687.958342361,688.607816956,688.677741062,688.232238052,688.34268957,688.161229985,689.141694985,689.607561504,689.27284558,689.490402111,689.458410121,688.560081263,689.517614643,688.015948949,689.001494489,688.743167343,689.604835641,689.264641264,688.705572418
estimated number of instructions,1710533729724.4897,1710816240310.3298,1710519190515.0798,1722434044968.5999,1725373292381.16,1722067247217.7798,1725410693789.5798,1722863179555.3198,1722302164724.0999,1723240524466.44,1725167042994.0598,1724150335322.16,1711246991177.8699,1722458654358.3599,1722916892687.94,1725180254456.3398,1724491740204.5398,1724954427094.5598,1723647855601.2598,1712037493642.2598,1725488193324.2998,1723920173613.1199,1724416472257.44,1724562054125.46,1724875552571.64,1722826403634.1199,1710449939048.16,1723862756723.0999,1724004260608.2,1722258248554.2598,1725500828231.5798,1710695287320.6099,1724475948131.0999,1722422539786.4998,1723298401844.64,1724722254086.94,1721570429505.2397,1721998852180.2,1725104227579.3198,1725107941616.0999,1725266618499.96,1725474809687.8198,1722899942888.64,1723514704481.3398,1723396270414.8599,1723404887501.5798,1725062122011.0598,1723927067466.72,1711455763888.2998,1722722123854.38,1723693849857.72,1710716797353.1199,1710886285307.3198,1722545667447.2998,1722683610961.92,1724469682303.4998,1711226693633.0999,1723434748557.8398,1710501739280.9797,1711058600390.44,1723232818534.9797,1723883722019.64,1724862752187.66,1723057373999.88,1721931143484.18,1724286102257.5798,1723508693705.94,1723462329949.2598,1721792528005.68,1724425027350.96,1724902676332.8599,1722687005302.7998,1723238312693.16,1722310473563.94,1723080637154.5198,1723879096899.42,1724947692785.0999,1725050541089.64,1711809550805.0098,1723658897847.5999,1722436280433.3599,1720464094439.4,1721726622832.9797,1722834610033.5598,1720773724377.66,1721830857294.2998,1723462158538.8599,1723598645840.2798,1722400592648.9998,1722819082070.7598,1722350874095.7598,1724652664982.5798,1710678386501.5999,1725161239703.22,1710478297567.7097,1710627760224.65,1723356699410.88,1710795236763.0298,1721860189660.7397,1724294934519.2998,1723567929110.2798,1710906982653.9998,1725167162616.5398,1723975638961.0798
instruction calculation error,-0.004322932937685761,-0.004153855219793956,-0.004321215202115389,0.0026859570836806745,0.004324868427138282,0.0024399838080352565,0.004355722519720388,0.00290511461046361,0.0025755837549313516,0.003132040276723869,0.004199928694257858,0.0036517444799034375,-0.0038985267951982578,0.002653327089633025,0.002926866118181805,0.00421704466600363,0.003846697647294217,0.004083702772688495,0.0033329288288046588,-0.003452655020934966,0.004381769648797613,0.003530011741851138,0.0037669909629487203,0.0038506911952979443,0.004030734146742689,0.002874822602912137,-0.004359959702621452,0.0034491660857923043,0.0035511747436626625,0.0025308257559532674,0.004389742708762442,-0.004216311705452902,0.003813209675428466,0.0026516607474201238,0.003151593037145088,0.0039767235384969585,0.0021412502331323237,0.0023906109067554763,0.00415579504760666,0.004160627481709204,0.004258311004105718,0.004389090088287824,0.002911633553051289,0.0032753333538762365,0.003213640970118144,0.0031973359258591102,0.004125698101866758,0.00348563694005097,-0.0037890842301287146,0.0028098657686541585,0.0033594740423442005,-0.004209570997417901,-0.004112619666121988,0.002704124706758409,0.0027907811351711147,0.003831194007501474,-0.003928173592394173,0.003240383924431055,-0.0043452324917237295,-0.004017728456677955,0.003104499914849534,0.003477788775520587,0.0040304323626967516,0.0030032845341097457,0.0023521719825728617,0.003706195211855335,0.0032656741327629748,0.0032293261293645636,0.002280422501221401,0.0037660808242599665,0.004043002225412927,0.002794687490472166,0.0031516898162025444,0.002572266651356614,0.003024795287826501,0.0034687008513724056,0.004064503847009615,0.004118982556737958,-0.0035875781641609423,0.0033509668916797434,0.002675069085103408,0.0015687530881046948,0.002249374396072182,0.0028761786776050307,0.0017274570530752872,0.0023331563322797726,0.0032734097027039763,0.0033234143609943193,0.0026215925419902425,0.0028635553273621975,0.0026275874550177112,0.0039005101965048686,-0.004246613148245123,0.004201443908054055,-0.004364871432113542,-0.004276084399615991,0.0031853360332467313,-0.0041781647231366415,0.0023519426979146632,0.003718124335579301,0.003299194709116853,-0.004098582406516221,0.0041861911758121146,0.0035126357675730607
predicted cycles,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0,11988593944.0
cycles prediction error,-125.26557130418063,-125.28642523994388,-125.26449807098413,-125.02871229500373,-125.24377397913811,-125.00187408407567,-125.24651060139368,-125.06011162754918,-125.01906275432027,-125.08772156325524,-125.22868292543781,-125.15429147977154,-125.31822175084254,-125.0305129385238,-125.0640417617434,-125.22964959442787,-125.17927172085727,-125.21312604062955,-125.11752555984309,-125.37657385670815,-125.25218116195461,-125.13745078628047,-125.17376444324753,-125.1844165175105,-125.20735487360835,-125.05742077154466,-125.25938617176674,-125.13324965199939,-125.14360334448241,-125.01584945372973,-125.2531056450134,-125.27749691653081,-125.17811623122566,-125.02787047276442,-125.09195639097875,-125.19613818250778,-124.96552244742539,-124.99686969012586,-125.22408678670317,-125.22435853892158,-125.23596876190938,-125.25120189515695,-125.06280156251158,-125.1077830305235,-125.09911733273731,-125.09974783603364,-125.221005965952,-125.13795520239701,-125.33363261652562,-125.04979072823622,-125.12089091187589,-125.27908471132051,-125.29159571475432,-125.03687959597808,-125.04697277984646,-125.17765776712005,-125.31672345762452,-125.10193273854367,-125.2632098823882,-125.30431540688105,-125.0871577282441,-125.13478366099876,-125.20641828279108,-125.07432063360908,-124.99191551507602,-125.16422540559773,-125.10734322832279,-125.10395084034218,-124.98177316430761,-125.17439041056574,-125.20933949107986,-125.0472211402475,-125.08755973009873,-125.01967070351215,-125.07602277450194,-125.13444524575016,-125.21263329819222,-125.22015860194523,-125.35974791982662,-125.11833350955305,-125.02887586164124,-124.88457305831994,-124.97695095118821,-125.05802122527872,-124.9072283597063,-124.98457767859486,-125.10393829842103,-125.11392493268016,-125.02626462348051,-125.05688506034866,-125.02262676851574,-125.19104641993036,-125.27624935763693,-125.22825830466712,-125.26147949773284,-125.27251230430029,-125.09622196342526,-125.28487483210733,-124.98672389741921,-125.1648716530256,-125.1116774214102,-125.29312351994028,-125.22869167809058,-125.14150912825345
