avg_instr_calc,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000
Average,3994774874477.3037,798968306628.6985,79898280514.09918,7990134850408.864,1997446802869.752,7991505684.703198,8478207.6456,5992532115556.603,3994863175844.1055,799271043912.5,79935261035.40038,7989692389123.992,1997588214479.1477,7993349174.886399,8474780.277200002,5993018622488.411,4009430659232.7554,799022991035.5272,79900375888.86479,8042228779095.3125,1998328957231.1938,7991169876.134399,8480133.000000002,6033290840422.013,3993313719782.3037,799530843687.3906,79899079058.33519,7990011646878.757,1995929603431.6138,7991506728.7608,8468881.1628,5992248360667.794
Std,164110135.3004638,36704521.34213929,5972099.485439444,1110872236.4383748,89767369.01897337,2764199.8612569286,30786.957680390005,625204805.3767072,306152558.77400166,1308591121.7706783,113806863.49569562,671277972.9546454,333110983.26465434,7200594.875023059,31497.863338478437,892723840.9238521,12623668036.62716,147719986.6634379,11209189.175212927,1844724546.647262,1371798995.388943,1064952.2384856096,27778.65077261627,2223300603.3635983,2004172070.8323572,1978049716.4185953,7663162.052239413,994711414.9321952,1182361228.8638391,1542618.9256925418,21042.66210899308,330050605.4077032
CI,133684563.45844248,18910169.395470165,3076825.654898402,904919551.2176763,73124743.44221964,1424115.7685195697,15861.44059693693,509293538.3051225,249392708.72243258,674186145.9362534,58633296.072982386,546824866.1754428,271353114.78121734,3709746.4796118797,16227.699191984091,727215273.7205862,10283274385.406141,76105337.12900321,5774974.2630697,1584003477.3877823,1117471200.151905,548663.3932677861,14311.560878051901,1811106730.5707989,1632604030.7887623,1019091213.8988603,3948061.0893137464,905936936.6270205,963154679.2735064,794757.2705167976,10841.179518553236,268860122.6386215
