CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.001,1515138673913,2.897,1717204467278,1.13,522.694043572
1.001,1514699678431,2.898,1717323630431,1.13,522.399073978
1.001,1517006420294,2.898,1717193400825,1.13,523.21092277
1.001,1511917963871,2.898,1717203264043,1.14,521.439046716
1.001,1518897720587,2.898,1717246030026,1.13,523.865193717
1.001,1513264896264,2.898,1717305450674,1.13,521.903456308
1.001,1517385763464,2.898,1717190525249,1.13,523.336738467
1.001,1513963569544,2.898,1717289358542,1.13,522.119102742
1.001,1518751124996,2.898,1717348363769,1.13,523.776537161
1.001,1514697615652,2.898,1717280546216,1.13,522.372830333
1.001,1515663101098,2.898,1717190817216,1.13,522.704751861
1.001,1515844164211,2.898,1717280699300,1.13,522.770695661
1.001,1516404956726,2.898,1717328639379,1.13,522.964153989
1.001,1518102124213,2.898,1717267299311,1.13,523.544876065
1.001,1513418157198,2.898,1717213226308,1.13,521.925465415
1.001,1516812365084,2.898,1717204188121,1.13,523.111084837
1.001,1513043693162,2.898,1717314028740,1.14,521.79139816
1.001,1518711642491,2.898,1717255267148,1.13,523.762011123
1.001,1513174607315,2.898,1717308398842,1.13,521.837096928
1.001,1519903269799,2.898,1717361368274,1.13,524.179139412
1.001,1514033331827,2.898,1717292039732,1.13,522.141907251
1.001,1517661314138,2.898,1717226691575,1.13,523.399168366
1.001,1514125408543,2.898,1717294883471,1.13,522.169739359
1.001,1515384782957,2.898,1717196268060,1.13,522.605779647
1.001,1514533849839,2.898,1717197696888,1.13,522.311891686
1.001,1514168900509,2.898,1717194922678,1.13,522.187638034
1.001,1515833237675,2.898,1717196386597,1.13,522.761921182
1.001,1512922301861,2.898,1717208339207,1.14,521.749484998
1.001,1518410355312,2.898,1717186449053,1.13,523.650530972
1.001,1511809068776,2.898,1717193196595,1.14,521.366746167
1.001,1519035072074,2.898,1717239219652,1.13,523.86484968
1.001,1513214492475,2.898,1717291624441,1.13,521.843881542
1.001,1519762600435,2.898,1717353650466,1.13,524.110584381
1.001,1513579899440,2.898,1717284486038,1.13,521.970681479
1.001,1519280271167,2.898,1717344389987,1.13,523.946810047
1.001,1514075947460,2.898,1717285766027,1.13,522.145807212
1.001,1517702491440,2.898,1717336796699,1.13,523.393965724
1.001,1515409520898,2.898,1717266097037,1.13,522.60222959
1.001,1514066848696,2.898,1717177593507,1.13,522.139358753
1.001,1515697074448,2.898,1717185244994,1.13,522.704030155
1.001,1512715511469,2.898,1717183932971,1.14,521.671751501
1.001,1516970068585,2.898,1717195209279,1.13,523.156625903
1.001,1511574688730,2.898,1717181989613,1.14,521.270872918
1.001,1520207874497,2.898,1717360747688,1.13,524.264934746
1.001,1513622762961,2.898,1717291070021,1.13,521.979896755
1.001,1518543008417,2.898,1717243524285,1.13,523.686755099
1.001,1512374321299,2.898,1717190097568,1.14,521.547910558
1.001,1518088000025,2.898,1717231758940,1.13,523.526630767
1.001,1513422950135,2.898,1717195870883,1.13,521.912492022
1.001,1516502986377,2.898,1717232588042,1.13,522.986964743
1.001,1514036047555,2.898,1717181684327,1.13,522.130340925
1.001,1514520458423,2.898,1717185307404,1.13,522.292881785
1.001,1516313394987,2.898,1717272392438,1.13,522.91528612
1.001,1514908349231,2.898,1717309944841,1.13,522.423296327
1.001,1517950715000,2.898,1717252853241,1.13,523.497996165
1.001,1512013335536,2.898,1717175731651,1.14,521.422784537
1.001,1518841176207,2.898,1717250988461,1.13,523.789479151
1.001,1511751000607,2.898,1717188715864,1.14,521.331085278
1.001,1520052187683,2.898,1717350070323,1.13,524.204013216
1.001,1512157585012,2.898,1717199280913,1.14,521.474092078
1.001,1519583217928,2.898,1717342781357,1.13,524.043875695
1.001,1513904892189,2.898,1717278146757,1.13,522.078837375
1.001,1516929360640,2.898,1717222464129,1.13,523.12543398
1.001,1514835334762,2.898,1717271481380,1.13,522.405453885
1.001,1517136318928,2.898,1717324998728,1.13,523.198540421
1.001,1515976002940,2.898,1717265158640,1.13,522.797391531
1.001,1515347207238,2.898,1717327024822,1.13,522.574339318
1.001,1516301465810,2.898,1717199617428,1.13,522.905552918
1.001,1512079855289,2.898,1717200968426,1.14,521.440948917
1.001,1518377820503,2.898,1717252146831,1.13,523.624445482
1.001,1511878511363,2.898,1717186631184,1.14,521.370929459
1.001,1519789839768,2.898,1717353556252,1.13,524.107230725
1.001,1513313882576,2.898,1717291405335,1.13,521.868326742
1.001,1519620753186,2.898,1717344173360,1.13,524.050775102
