CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,1503027467950.0,1503084694871.0,1502997093677.0,1503139002776.0,1503479542696.0,1503017981366.0,1503078410588.0,1503072523313.0,1502999972006.0,1503133445719.0,1503357803123.0,1503114121335.0,1503004518864.0,1502960667754.0,1502998001524.0,1503268995390.0,1503063434831.0,1503265663364.0,1502995988685.0,1503133359473.0,1503229910077.0,1503026356065.0,1503198765685.0,1503021786798.0,1503332506572.0,1502959235369.0,1503229095377.0,1503019395919.0,1503042827136.0,1502999373602.0,1502973062400.0,1503073884152.0,1503211127361.0,1502981143232.0,1503217221798.0,1503013292565.0,1503142252334.0,1503019362878.0,1503107956820.0,1502975165339.0,1502986703387.0,1503248279228.0,1503016646542.0,1503109876997.0,1502936111208.0,1503998056106.0,1503015884447.0,1503365133655.0,1503022422419.0,1503273297415.0,1503190647066.0,1503056456921.0,1502992943967.0,1503121851915.0,1503126006067.0,1503264444961.0,1503247407599.0,1503043442855.0,1503112728250.0,1503025183456.0,1502966322288.0,1503102954594.0,1502961296068.0,1503079475997.0,1503097394786.0,1503080515647.0,1503026461011.0,1503305967992.0,1503112136104.0,1504832221340.0,1502955351386.0,1503284429968.0,1505592009138.0,1503344921342.0,1503346818903.0,1503028553803.0,1503568108400.0,1503118138331.0,1503015139166.0,1503101880942.0,1503158975763.0,1502978641857.0,1503478016450.0,1502992787001.0,1502992433955.0,1503094836498.0,1503038106984.0,1503063513803.0,1503104967238.0,1503643443483.0,1503322616219.0,1502972696142.0,1503111295950.0,1502967901868.0,1503095331496.0,1503255523106.0,1503087877432.0,1503100595131.0,1503191029379.0,1503380374033.0,1503049826045.0,1503051683626.0,1503000089290.0,1503204603358.0,1503190275434.0,1503128018453.0,1503284821358.0,1503045311334.0,1502989600122.0,1503043205408.0,1502985051484.0,1503003408514.0,1502979026156.0,1502973210144.0,1503040829868.0,1502987987304.0,1503123955653.0,1503108126341.0,1503304078671.0,1503183086922.0,1502970719190.0,1503011308397.0,1502962014689.0,1502993202811.0,1503067928670.0,1502971401968.0,1503313600727.0,1503370078561.0,1503196459107.0,1503057320593.0,1503109305396.0,1502964324862.0,1503007550821.0,1502977887613.0,1503049785344.0,1503011234772.0,1503057971076.0,1503058562927.0,1503069329901.0,1502964403685.0,1503059157062.0,1503049471887.0,1503024185561.0,1503135852863.0,1503029587189.0,1503032652076.0,1503023263073.0,1503137469535.0,1503098252652.0,1503063842616.0,1503033963270.0,1503264157565.0,1503044141538.0,1502994674620.0,1502965462903.0,1503179208084.0,1503125269395.0,1503203854525.0
clock speed,3.295,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.296,3.297,3.297,3.297,3.297,3.297,3.296,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.296,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.296,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.297
instructions,1717428783355.0,1717417070107.0,1717423364312.0,1717416370897.0,1717423368045.0,1717415443972.0,1717422452057.0,1717412331465.0,1717417759303.0,1717415831893.0,1717418229305.0,1717412825471.0,1717417710931.0,1717412588428.0,1717415782294.0,1717414384193.0,1717415642945.0,1717410448359.0,1717414749924.0,1717409167453.0,1717412920793.0,1717409566913.0,1717414576027.0,1717408633220.0,1717412381727.0,1717407760056.0,1717411155354.0,1717407326294.0,1717410289939.0,1717410217759.0,1717415395236.0,1717422731868.0,1717412360491.0,1717410789149.0,1717407329952.0,1717412287249.0,1717412719154.0,1717414543710.0,1717407924408.0,1717413797558.0,1717410314043.0,1717414048789.0,1717408266348.0,1717412365697.0,1717408543868.0,1717410757343.0,1717404557570.0,1717415674049.0,1717404677524.0,1717410882585.0,1717402844301.0,1717412635670.0,1717403045276.0,1717412852290.0,1717405275384.0,1717413432087.0,1717405573451.0,1717412656986.0,1717403814745.0,1717413286394.0,1717403567932.0,1717413935109.0,1717403723605.0,1717421239462.0,1717412003666.0,1717411799223.0,1717401313976.0,1717411481411.0,1717403790572.0,1717416702673.0,1717402629387.0,1717413299512.0,1717405526501.0,1717417148218.0,1717404416908.0,1717415496950.0,1717406223179.0,1717417099726.0,1717409961253.0,1717420588418.0,1717406910922.0,1717416332775.0,1717405490621.0,1717410557058.0,1717403086647.0,1717411057457.0,1717404040273.0,1717408320758.0,1717404210525.0,1717409469755.0,1717405164910.0,1717409060585.0,1717405959806.0,1717410588416.0,1717415063245.0,1717416637925.0,1717406148651.0,1717409692920.0,1717405872157.0,1717407343865.0,1717406874293.0,1717408407640.0,1717406210229.0,1717407988727.0,1717406486417.0,1717406151202.0,1717405298159.0,1717403885997.0,1717406027895.0,1717408288756.0,1717411801529.0,1717410246513.0,1717409232973.0,1717411143898.0,1717410010509.0,1717414181899.0,1717416115695.0,1717411807732.0,1717411455741.0,1717411651313.0,1717409941773.0,1717408714257.0,1717406741225.0,1717409321555.0,1717409116629.0,1717407473635.0,1717418186700.0,1717414790472.0,1717408724514.0,1717405740731.0,1717407827339.0,1717403629048.0,1717406906196.0,1717406455284.0,1717406849386.0,1717408430739.0,1717409358156.0,1717407243091.0,1717409659123.0,1717406114598.0,1717416520661.0,1717406952525.0,1717414903714.0,1717404560824.0,1717409805676.0,1717406884733.0,1717409299141.0,1717403583512.0,1717413119199.0,1717407090902.0,1717416544360.0,1717409506096.0,1717416852812.0,1717405699612.0,1717417160134.0,1717410012459.0,1717415063123.0,1717409996041.0
instructions per cycle,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",455.834656988,455.629519431,455.601177502,455.640336149,455.74244441,455.601464397,455.625268505,455.615526774,455.598956347,455.64263654,455.707071639,455.631690959,455.606504709,455.585386786,455.600208032,455.674847977,455.799833563,455.678949271,455.600270344,455.637463748,455.666016629,455.599571925,455.774933128,455.612087324,455.703697812,455.593361545,455.665025396,455.608912779,455.610328913,455.601793758,455.592717189,455.623693238,455.66126932,455.663733259,455.6453375,455.593721136,455.638507229,455.613482477,455.635499717,455.595577521,455.591439167,455.675325657,455.603947397,455.635796023,455.576773808,455.893616374,455.582397471,455.696985103,455.594727234,455.808907338,455.684587856,455.622696368,455.602727945,455.634376396,455.635290156,455.680925403,455.668626871,455.593519468,455.617560852,455.582838547,455.571487332,455.609522833,455.581405402,455.62033797,455.607779756,455.60261219,455.604816725,455.684943355,455.631046765,456.151074078,455.579700688,455.681937553,456.380024285,455.701126269,455.700839942,455.603919833,455.758177618,455.619622244,455.582524013,455.724648906,455.644270232,455.591458168,455.740308063,455.595331733,455.59226553,455.622254553,455.603459724,455.612486086,455.613194948,455.770211158,455.671745493,455.58200038,455.644413073,455.614755759,455.646814867,455.703767054,455.647537913,455.657962138,455.683883516,455.744620629,455.643312193,455.647822567,455.627170807,455.695017856,455.687534968,455.673100617,455.713971201,455.644381768,455.622820476,455.643162641,455.624381179,455.629242019,455.620018929,455.619745718,455.592519551,455.574531544,455.620449621,455.609563301,455.669326966,455.6332797,455.567555758,455.625333199,455.60973638,455.622002468,455.648786382,455.610887468,455.718871836,455.730964912,455.685622139,455.640254038,455.660111741,455.61162184,455.631651293,455.616638423,455.643630885,455.627633086,455.646767001,455.643080819,455.651398116,455.61413636,455.694830031,455.644757037,455.632956897,455.664467997,455.637523595,455.638437385,455.633685958,455.662782199,455.660778192,455.6472478,455.63440458,455.711250333,455.636846635,455.628512895,455.610448999,455.680452579,455.662819182,455.685129535
estimated number of instructions,1713451313462.9998,1713516552152.94,1713416686791.7798,1713578463164.64,1713966678673.44,1713440498757.2397,1713509388070.3198,1713502676576.8198,1713419968086.8398,1713572128119.66,1713827895560.22,1713550098321.9,1713425151504.96,1713375161239.5598,1713417721737.3599,1713726654744.5999,1713492315707.3398,1713722856234.96,1713415427100.9,1713572029799.22,1713682097487.7798,1713450045914.0999,1713646592880.9,1713444836949.72,1713799057492.0798,1713373528320.66,1713681168729.7798,1713442111347.66,1713468822935.0398,1713419285906.2798,1713389291135.9998,1713504227933.2798,1713660685191.5398,1713398503284.4797,1713667632849.72,1713435153524.0999,1713582167660.7598,1713442073680.92,1713543070774.7998,1713391688486.46,1713404841861.18,1713703038319.92,1713438977057.88,1713545259776.5798,1713347166777.1199,1714557783960.8398,1713438108269.5798,1713836252366.7,1713445561557.66,1713731559053.0999,1713637337655.2397,1713484360889.94,1713411956122.38,1713558911183.0999,1713563646916.38,1713721467255.5398,1713702044662.8599,1713469524854.7,1713548510204.9998,1713448709139.8398,1713381607408.3198,1713537368237.16,1713375877517.5198,1713510602636.5798,1713531030056.0398,1713511787837.5798,1713450165552.5398,1713768803510.88,1713547835158.5598,1715508732327.5999,1713369100580.0398,1713744250163.5198,1716374890417.3198,1713813210329.88,1713815373549.42,1713452551335.42,1714067643575.9998,1713554677697.3398,1713437258649.2397,1713536144273.88,1713601232369.8198,1713395651716.9797,1713964938752.9998,1713411777181.14,1713411374708.7,1713528113607.72,1713463441961.7598,1713492405735.42,1713539662651.3198,1714153525570.6199,1713787782489.66,1713388873601.88,1713546877382.9998,1713383408129.5198,1713528677905.44,1713711296340.8398,1713520180272.4797,1713534678449.3398,1713637773492.0598,1713853626397.6199,1713476801691.2998,1713478919333.64,1713420101790.5999,1713653247828.1199,1713636913994.7598,1713565941036.42,1713744696348.1199,1713471654920.7598,1713408144139.0798,1713469254165.1199,1713402958691.7598,1713423885705.96,1713396089817.8398,1713389459564.16,1713466546049.5198,1713406305526.5598,1713561309444.42,1713543264028.7397,1713766649684.94,1713628719091.0798,1713386619876.5999,1713432891572.5798,1713376696745.46,1713412251204.5398,1713497438683.7998,1713387398243.5198,1713777504828.7798,1713841889559.5398,1713643963381.9797,1713485345476.0198,1713544608151.44,1713379330342.68,1713428607935.94,1713394791878.8198,1713476755292.16,1713432807640.0798,1713486087026.64,1713486761736.7798,1713499036087.14,1713379420200.9,1713487439050.68,1713476397951.18,1713447571539.5398,1713574872263.8198,1713453729395.46,1713457223366.64,1713446519903.22,1713576715269.9,1713532008023.2798,1713492780582.2397,1713458718127.7998,1713721139624.0999,1713470321353.3198,1713413929066.7998,1713380627709.42,1713624297215.7598,1713562807110.2998,1713652394158.4998
instruction calculation error,-0.0023159445856207497,-0.0022711535956825243,-0.0023329585491142367,-0.0022346984676497425,-0.0020127182591529093,-0.0023144925292898784,-0.0022784516308106957,-0.0022764800371761233,-0.0023277919390926917,-0.002238074030739203,-0.0020905413041021207,-0.0022491547121413547,-0.002324745692692141,-0.0023508778354395118,-0.0023279514476685524,-0.002147256644838795,-0.0022844366497864724,-0.002147181605633973,-0.0023286878276066268,-0.0022342594452728396,-0.0021723507841652553,-0.002305519356117996,-0.0021939857729732348,-0.002308009982952186,-0.0021039351255210297,-0.0023490238190192773,-0.002171865841555789,-0.0023088377961544165,-0.00229500604896236,-0.00232380814522454,-0.002344280895098762,-0.0022816187663116296,-0.002184493011560496,-0.0023362412125688373,-0.0021775248288852652,-0.0023157710902784053,-0.0022304198929696817,-0.0023130525146821297,-0.002250399324628965,-0.0023419568873029304,-0.002332274441971111,-0.0021608129220189055,-0.00231120891164723,-0.002251704947315159,-0.002364828744669553,-0.0016612061907507678,-0.0023095602506333144,-0.002084190645507014,-0.002305290079940848,-0.0021423664943604694,-0.0021925587571114406,-0.0022873214616402036,-0.0023239094425727643,-0.0022440388179005982,-0.0022368793916515456,-0.0021497239758825754,-0.0021564671999393646,-0.002295972441603004,-0.0022448445187439386,-0.0023084584738973677,-0.002341884341444098,-0.002257211725485418,-0.0023453111415325093,-0.0022770399803866484,-0.002259780181852608,-0.002270865605549367,-0.002300655293149159,-0.002121028035242519,-0.0022452235371833652,-0.001110953644756434,-0.00234862153926008,-0.0021363811200965886,-0.0006001122436003619,-0.0020984639007823928,-0.002089806759110216,-0.0023075054473527053,-0.0019439661729071737,-0.0022489714521163055,-0.0023131941082150365,-0.0022617896689466547,-0.002215944589472436,-0.0023411219407257237,-0.0020033427672087904,-0.0023283773704699906,-0.0023242720182210298,-0.002260928641643644,-0.002294508583206683,-0.0022801304589299643,-0.0022502261552618456,-0.0018958461809603327,-0.0021063069415711553,-0.0023408441677550736,-0.002247041476108637,-0.0023449140896438566,-0.002262927246146811,-0.002157508843420189,-0.00226269620705192,-0.002256313380921777,-0.0021940641557301704,-0.0020692338833153807,-0.0022883759582702713,-0.0022880336959336697,-0.002321005021793089,-0.002186283587549436,-0.0021949215005613717,-0.002236052411301976,-0.0021314722941661863,-0.002289636764131034,-0.002327861723427345,-0.002293592395395597,-0.0023342350586336887,-0.002321146514138877,-0.002336742506160294,-0.002341713193214812,-0.0022961694850675025,-0.002333669079178412,-0.002244538301086178,-0.0022525428588784546,-0.002122267231813391,-0.0022026939313169493,-0.002342668339421976,-0.002315012525216061,-0.002346587085517942,-0.0023273836355104465,-0.0022776622688938527,-0.0023407813539855424,-0.002119857527662348,-0.0020803948657495018,-0.0021921171578336033,-0.002282742605315585,-0.002249447758454577,-0.002343245721188349,-0.00231645642375566,-0.002335884666578119,-0.0022883885057551497,-0.0023148966942065476,-0.002284412339276271,-0.002282790741678781,-0.0022770473049843437,-0.002344637277620641,-0.002287786080459877,-0.0022886564934660424,-0.002310060408746099,-0.0022299280248462335,-0.0023035132718267344,-0.0022997819570137273,-0.0023074168980930176,-0.002228287095031183,-0.0022598588145934053,-0.0022791977164275112,-0.002304523177675041,-0.002147633665010105,-0.002297946158044479,-0.0023243026071836288,-0.0023503505835851383,-0.0022043165090320045,-0.0022430547486261914,-0.0021879469032801287
predicted cycles,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0,11990137568.0
cycles prediction error,-124.35531468474308,-124.36008751747126,-124.3527814133083,-124.36461689878085,-124.3930185679084,-124.35452348581427,-124.35956339646228,-124.35907238666638,-124.35302147135465,-124.36415342978657,-124.38286525879833,-124.3625417398547,-124.35340068785439,-124.34974342289381,-124.35285712945375,-124.37545852701597,-124.35831439019232,-124.37518062978742,-124.35268925489946,-124.36414623670814,-124.37219873847906,-124.35522195144509,-124.36960123767281,-124.35484086599264,-124.38075547891829,-124.34962395929368,-124.37213079096841,-124.3546414621921,-124.35659566971201,-124.35297156333678,-124.35077715965703,-124.35918588319569,-124.37063222467607,-124.35145111622792,-124.37114051217198,-124.35413243100164,-124.36488791802326,-124.35463870651063,-124.36202760772194,-124.35095254872058,-124.35191484360124,-124.37373076018405,-124.35441215898483,-124.36218775409132,-124.34769536082106,-124.43626356047494,-124.35434859883001,-124.3834766389396,-124.35489387797823,-124.37581732398351,-124.3689241295951,-124.35773241938837,-124.3524353196979,-124.36318648475077,-124.3635329488323,-124.3750790126881,-124.37365806468786,-124.3566470218334,-124.36242555394841,-124.35512415365142,-124.35021502165304,-124.36161041267546,-124.34979582546187,-124.35965225357454,-124.36114671424261,-124.35973896233781,-124.35523070413866,-124.37854211148614,-124.3623761678595,-124.50583450820336,-124.34930002781432,-124.37674579981933,-124.56920223803057,-124.38179089406091,-124.3819491542134,-124.35540524692335,-124.40040511401746,-124.36287676486816,-124.3542864409944,-124.3615208680815,-124.3662826834215,-124.35124249685339,-124.39289127612452,-124.3524222284386,-124.3523927837389,-124.36093334821695,-124.35620200016707,-124.3583209766055,-124.36177827096637,-124.40668820147769,-124.37993060489629,-124.3507466130517,-124.36230609743743,-124.35034676159272,-124.36097463198014,-124.3743349132189,-124.36035294903799,-124.36141362902835,-124.36895601521759,-124.38474771509811,-124.35717939187201,-124.3573343176174,-124.35303125306059,-124.3700881105687,-124.3688931347881,-124.36370078560553,-124.37677844248067,-124.35680285649246,-124.35215643674256,-124.3566272183075,-124.35177707178747,-124.3533080825783,-124.351274548112,-124.3507894817842,-124.35642909380837,-124.35202192469123,-124.36336194045242,-124.36204174609183,-124.37838453856511,-124.36829359938166,-124.35058173154064,-124.35396694766263,-124.3498557598034,-124.35245690777383,-124.35868918480786,-124.35063867650864,-124.37917869592536,-124.38388905339039,-124.36940886473405,-124.35780445125582,-124.36214008149402,-124.35004843257191,-124.35365355876458,-124.35117959148674,-124.35717599733215,-124.3539608071993,-124.35785870276013,-124.35790806424549,-124.35880605010587,-124.35005500655821,-124.35795761622074,-124.35714985442942,-124.35504092733359,-124.36435419011866,-124.35549143325726,-124.3557470505913,-124.35496399010124,-124.36448902360084,-124.36121826187875,-124.35834840022746,-124.35585640663435,-124.37505504332175,-124.35670529330828,-124.35257965940963,-124.35014334732944,-124.36797009700499,-124.36347150900346,-124.37002565648962
