Processors,Count,Base,Max,,,Total Processor,Total Processors with Max Freq,Based on Max Turbo Frequency. Procs with no given Max Freq in specification are excluded
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,457,2.5,3.3,1142.5,,,,
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,40,2.4,3.3,96,,,,
Intel(R) Xeon(R) CPU E5-2690 0 @ 2.90GHz,1,2.9,3.8,2.9,,,,
Intel(R) Xeon(R) CPU E5-2690 v4 @ 2.60GHz,143,2.6,3.5,371.8,,,,
Intel(R) Xeon(R) CPU E5-4620 0 @ 2.20GHz,8,2.2,2.6,17.6,,,,
Intel(R) Xeon(R) CPU E5410 @ 2.33GHz,64,2.33,,149.12,,,,
Intel(R) Xeon(R) CPU E5430 @ 2.66GHz,112,2.66,,297.92,,,,
Intel(R) Xeon(R) CPU E5440 @ 2.83GHz,16,2.83,,45.28,,,,
Intel(R) Xeon(R) CPU E5504 @ 2.00GHz,6,2,,12,,,,
Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,59,2.26,2.53,133.34,,,,
Intel(R) Xeon(R) CPU E5530 @ 2.40GHz,113,2.4,2.66,271.2,,,,
Intel(R) Xeon(R) CPU E5620 @ 2.40GHz,22,2.4,2.66,52.8,,,,
Intel(R) Xeon(R) CPU E5645 @ 2.40GHz,67,2.4,2.67,160.8,,,,
Intel(R) Xeon(R) CPU E7-4850 v3 @ 2.20GHz,2,2.2,2.8,4.4,,,,
Intel(R) Xeon(R) CPU E7-8860 v3 @ 2.20GHz,224,2.2,3.2,492.8,,,,
Intel(R) Xeon(R) CPU E7-8870 v4 @ 2.10GHz,1640,2.1,3,3444,,,,
Intel(R) Xeon(R) CPU E7-L8867 @ 2.13GHz,2,2.13,2.53,4.26,,,,
Intel(R) Xeon(R) CPU L5520 @ 2.27GHz,600,2.26,2.53,1356,,,,
Intel(R) Xeon(R) CPU L5640 @ 2.27GHz,218,2.26,2.8,492.68,,,,
Intel(R) Xeon(R) CPU X5570 @ 2.93GHz,14,2.93,3.33,41.02,,,,
Intel(R) Xeon(R) CPU X5650 @ 2.67GHz,1992,2.66,3.06,5298.72,,,,
Intel(R) Xeon(R) CPU X5660 @ 2.80GHz,259,2.8,3.2,725.2,,,,
Intel(R) Xeon(TM) CPU 3.20GHz,7,3.2,,22.4,,,,
