CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
0.999,1755436518438,2.736,2002125147007,1.14,642.077673822
0.999,1752190738762,2.794,2002075405411,1.14,627.39946138
0.999,1752387114417,2.794,2002075855220,1.14,627.590790747
0.999,1753974273193,2.794,2002059172192,1.14,628.167879833
0.999,1754328958930,2.794,2002067354894,1.14,628.311815893
0.999,1752227256958,2.793,2002096861518,1.14,627.685495938
0.999,1752050338336,2.794,2002046030276,1.14,627.408217866
0.999,1752236837724,2.794,2002033031217,1.14,627.478401979
0.999,1752149757043,2.793,2002074590401,1.14,627.572427039
0.999,1752219585420,2.794,2002082756909,1.14,627.44695238
