CPU utilized,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cycles,3172332399871.0,3177250893109.0,3151376019324.0,3175202090960.0,3151533619192.0,3148496882687.0,3148285022448.0,3131869206273.0,3135001557946.0,3155220257874.0
clock speed,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
instructions,4001815160041.0,4001741097362.0,4001148352458.0,4001823459200.0,4001833699571.0,4001160845506.0,4001153153355.0,4001177797519.0,4001211699257.0,4001154711072.0
instructions per cycle,1.26,1.26,1.27,1.26,1.27,1.27,1.27,1.28,1.28,1.27
"time (s)
",1174.945313214,1176.769957259,1167.182964221,1176.00791696,1167.246338871,1166.119540324,1166.039586138,1160.028139652,1161.109556674,1168.607072998
estimated number of instructions,3997138823837.46,4003336125317.34,4002247544541.48,4000754634609.6,4002447696373.84,3998591041012.49,3998321978508.96,4008792584029.44,4012801994170.88,4007129727499.98
instruction calculation error,-0.0011685537728564476,0.0003985834956667504,0.0002747191522665539,-0.0002670843932264743,0.0001534288650989332,-0.0006422647308458252,-0.0007075897216446402,0.0019031362503214985,0.0028966962472973196,0.0014933230178393023
predicted cycles,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0,4000000000000.0
cycles prediction error,0.20691690003225,0.20568727672275,0.212155995169,0.20619947726,0.212116595202,0.21287577932825,0.212928744388,0.21703269843175,0.2162496105135,0.2111949355315
prediction to actual cycles,1.2609019156260726,1.2589499962610522,1.2692868053422701,1.2597623349355467,1.2692233316633736,1.270447502106563,1.2705329954178466,1.2771925443080991,1.2759164313209248,1.2677403392101747
p2a ratio to instruction rate error,0.0007158060524385381,-0.0008333363007522329,-0.0005615705966377154,-0.00018862306702645206,-0.0006115498713593494,0.00035236386343549624,0.00041968143137525294,-0.0021933247592975658,-0.0031902880305275175,-0.0017792604644293803
