CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.0,1573074511407,2.7,2000575232614,1.27,582.631463111
1.0,1575213157955,2.7,2000901190567,1.27,583.413522545
1.0,1578893733724,2.7,2000870791070,1.27,584.775901005
1.0,1583169428849,2.7,2000852823703,1.26,586.363960856
1.0,1580135611365,2.7,2000887455769,1.27,585.241099403
1.0,1577033519109,2.7,2000858130069,1.27,584.081397491
1.0,1574792629744,2.7,2000572739652,1.27,583.257325816
1.0,1574147934291,2.7,2000576364619,1.27,583.02131598
1.0,1585713891731,2.7,2000819714262,1.26,587.305182118
1.0,1575112304626,2.7,2000574826617,1.27,583.377841627
