CPU utilized,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cycles,6268667006.0,6257339292.0,6296011515.0,6303426995.0,6260945273.0,6281580607.0,6311229319.0,6340358060.0,6273477126.0,6285213736.0,6257177210.0,6242192923.0,6266789508.0,6248608895.0,6353210873.0,6311537130.0,6293736087.0,6310078835.0,6267174630.0,6270191966.0,6315104490.0,6273378899.0,6242949644.0,6239960520.0,6301365528.0
clock speed,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
instructions,8003107825.0,8002755521.0,8002778480.0,8002897553.0,8002761500.0,8002838271.0,8002801288.0,8002752373.0,8002822903.0,8002807029.0,8002777062.0,8003100096.0,8002810876.0,8003048627.0,8003800878.0,8002825410.0,8002764531.0,8007723988.0,8003033139.0,8002790737.0,8002787924.0,8002778702.0,8002766320.0,8002773095.0,8002736090.0
instructions per cycle,1.28,1.28,1.27,1.27,1.28,1.27,1.27,1.26,1.28,1.27,1.28,1.28,1.28,1.28,1.26,1.27,1.27,1.27,1.28,1.28,1.27,1.28,1.28,1.28,1.27
"time (s)
",2.321983613,2.317740617,2.332136077,2.335018219,2.319129698,2.326892593,2.337915553,2.348545424,2.323843314,2.328195913,2.317833734,2.312247855,2.321419219,2.314556564,2.353295351,2.337869643,2.331265383,2.337327205,2.321388212,2.32254706,2.339173828,2.323678692,2.312425335,2.311336964,2.334114663
estimated number of instructions,8023893767.68,8009394293.76,7995934624.05,8005352283.650001,8014009949.440001,7977607370.89,8015261235.13,7988851155.6,8030050721.28,7982221444.72,8009186828.8,7990006941.440001,8021490570.24,7998219385.6,8005045699.9800005,8015652155.1,7993044830.49,8013800120.45,8021983526.400001,8025845716.4800005,8020182702.3,8029924990.72,7990975544.32,7987149465.6,8002734220.56
instruction calculation error,0.00259723386645741,0.0008295608609533867,-0.0008551849794547617,0.00030673023536086395,0.0014055709944624157,-0.003152743971027033,0.0015569482087083048,-0.0017370545472455317,0.0034022767478451765,-0.0025722954715018324,0.0008009428165175334,-0.001636010346358595,0.0023341416571543844,-0.0006034252226966531,0.00015552885422501336,0.0016027770747032181,-0.001214542858577108,0.0007587839514829952,0.002367900653522531,0.0028808674670710056,0.0021735898120996103,0.0033921078828802365,-0.0014733374946277707,-0.0019522769438210115,-2.3360010608326624e-07
predicted cycles,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0
cycles prediction error,0.21641662425,0.2178325885,0.212998560625,0.212071625625,0.217381840875,0.214802424125,0.211096335125,0.2074552425,0.21581535925,0.214348283,0.21785284875,0.219725884625,0.2166513115,0.218923888125,0.205848640875,0.21105785875,0.213282989125,0.211240145625,0.21660317125,0.21622600425,0.21061193875,0.215827637625,0.2196312945,0.220004935,0.212329309
prediction to actual cycles,1.2761883814123274,1.2784986759832553,1.2706457065620536,1.269150893053216,1.2777623268006482,1.2735648080492745,1.2675818918377666,1.2617583934999406,1.2752098779231287,1.2728286317739952,1.2785317934123206,1.2816008890919055,1.2765707209070025,1.28028496172987,1.2592058031630207,1.2675200724042957,1.2711050939241584,1.2678130034804866,1.2764922747972,1.2758780023609886,1.2668040588509724,1.2752298448409085,1.2814455435642786,1.2820593935424451,1.2695660907865365
p2a ratio to instruction rate error,-0.0029778270216192573,-0.0011729093880818303,0.0005084303638216839,-0.0006685881470739944,-0.0017481821869936437,0.002806935471869688,-0.0019040221749869475,0.0013955503967782207,-0.0037422828725557425,0.0022272691133820247,-0.0011470363966245567,0.0012506946030511543,-0.0026791242914043015,0.0002226263514608709,-0.0006303149499836063,-0.0019526988942554075,0.0008701526961876869,-0.0017220445035538373,-0.002740410314687469,-0.00322031065547769,-0.002516489093722566,-0.003726683718040247,0.0011293309095926699,0.0016089012050352416,-0.00034166079800278324
