avg_instr,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000
Average,4003924408936.5,800779392275.48,80078373994.88,8007723099594.4,2001949045894.0,8008357475.4,8467664.92,6005694069611.1
Std,217364942.14661902,10622948.179896872,1609930.3366985666,387621077.10475683,7868099.401510832,386248.2768798673,10072.033164990406,213679638.3144932
CI,177066074.2484821,5472942.902282869,829436.1094671015,315757185.77750903,6409375.215082377,198995.11224850762,5189.111486603057,174064015.70342365
