CPU utilized,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001
cycles,7008935024539.0,7027586369527.0,7008735614796.0,7008452800224.0,7024994676282.0,7020450293877.0,7011238174819.0,7010272520472.0,7014923212517.0,7010078584785.0
clock speed,3.296,3.297,3.297,3.297,2.964,2.898,2.956,2.996,2.996,2.996
instructions,8007708403821.0,8007676889519.0,8007690805491.0,8007698197304.0,8008626802728.0,8008126248714.0,8007534325816.0,8007388909607.0,8007384131546.0,8007396281398.0
instructions per cycle,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",2125.293918833,2130.366847358,2124.532914973,2124.249310887,2368.877926199,2421.371341716,2370.080251357,2338.135761559,2339.783504824,2338.171741019
estimated number of instructions,7990185927974.459,8011448461260.779,7989958600867.439,7989636192255.359,8008493930961.4795,8003313335019.779,7992811519293.659,7991710673338.079,7997012462269.379,7991489586654.899
instruction calculation error,-0.002188201038661685,0.00047099449613355283,-0.002214396766094077,-0.002255580143457663,-1.6591079818483658e-05,-0.0006010037235606261,-0.0018386192207600067,-0.00195797112465846,-0.0012952631104283761,-0.0019865002535285363
predicted cycles,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0,8000000000000.0
cycles prediction error,0.123883121932625,0.121551703809125,0.1239080481505,0.123943399972,0.12187566546475,0.122443713265375,0.123595228147625,0.123715934941,0.123134598435375,0.123740176901875
prediction to actual cycles,1.141400222999811,1.138370925569777,1.141432697662523,1.1414787582994508,1.1387908985909758,1.1395280452277157,1.1410252797761395,1.1411824542680349,1.140425883169368,1.1412140253839054
p2a ratio to instruction rate error,0.0012282657893080084,-0.0014290126580903304,0.0012567523355466544,0.0012971564030270855,-0.0010606152710737568,-0.00041399541428441516,0.0008993682246838971,0.0010372405859955989,0.00037358172751596663,0.0010649345472855006
