CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.001,3504610853805,3.297,4003879266837,1.14,1062.280267957
1.001,3504258333555,3.297,4003905885705,1.14,1062.140713649
1.001,3504179996402,3.297,4003905644302,1.14,1062.114728332
1.001,3504109721059,3.297,4003896552245,1.14,1062.101551165
1.001,3506700357124,2.956,4004421470090,1.14,1185.796852207
1.001,3506312827262,2.97,4003809834193,1.14,1179.744391892
1.001,3508949420635,2.898,4003993099786,1.14,1210.267424987
1.001,3509087730093,2.898,4003978994071,1.14,1210.29114962
1.001,3507676518842,2.981,4003921122830,1.14,1175.956489098
1.001,3508104788387,3.294,4003532219306,1.14,1064.256137064
