CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
0.999,7010433664,2.693,8008708638,1.14,2.605010803
0.999,7010777617,2.792,8008968720,1.14,2.512470103
0.999,7148103808,2.794,8008615294,1.12,2.559795701
0.999,7009268081,2.793,8008622811,1.14,2.511089364
0.999,7009449510,2.793,8008719556,1.14,2.511022755
0.999,7008836104,2.794,8008468153,1.14,2.509747519
0.999,7009896070,2.791,8008983452,1.14,2.512825696
0.999,7008908847,2.794,8008399082,1.14,2.509813983
0.999,7011540430,2.794,8008491044,1.14,2.510967826
0.999,7162872666,2.794,8008662354,1.12,2.56484176
0.999,7009180111,2.794,8008470570,1.14,2.509720853
0.999,7010204466,2.794,8008441004,1.14,2.51078515
0.999,7008440360,2.794,8008393170,1.14,2.509595106
0.999,7020605942,2.794,8008752310,1.14,2.514450474
0.999,7009222660,2.795,8008514554,1.14,2.509776448
0.999,7008979589,2.794,8008433793,1.14,2.510291443
0.999,7009857279,2.794,8008428107,1.14,2.510012184
0.999,7010748420,2.794,8008465327,1.14,2.51041254
0.999,7008870281,2.795,8008365155,1.14,2.509652174
0.999,7010301084,2.794,8008543602,1.14,2.510540642
0.999,7009673321,2.794,8008430580,1.14,2.509999464
0.999,7010531510,2.794,8008500169,1.14,2.510478445
0.999,7009159550,2.795,8008410391,1.14,2.509760782
0.999,7009163240,2.794,8008421248,1.14,2.510411834
0.999,7008790216,2.794,8008384043,1.14,2.509635875
