CPU utilized,1.0,1.001,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.0,1.001,1.0,1.001,1.001,1.001,1.001,1.0,1.001,1.001,1.0,1.001
cycles,7009986914.0,7010074289.0,7009496402.0,7014088319.0,7105368595.0,7009191164.0,7012186091.0,7281032430.0,7143073764.0,7010114549.0,7009482494.0,7008825505.0,7009317861.0,7013043006.0,7010153319.0,7009822831.0,7008756824.0,7009407878.0,7189107432.0,7010667313.0,7008948982.0,7010063802.0,7011706022.0,7010927304.0,7010588667.0
clock speed,2.888,3.296,3.294,3.297,3.147,3.297,3.168,3.296,3.273,3.296,3.296,3.294,3.297,3.058,3.297,3.175,3.296,3.296,3.297,3.2,3.296,3.295,3.297,3.294,2.997
instructions,8009172466.0,8008013286.0,8008112657.0,8008160066.0,8008849960.0,8008159117.0,8008335045.0,8008379238.0,8008051105.0,8009028016.0,8008057398.0,8008171177.0,8008395501.0,8009141242.0,8007949653.0,8008520437.0,8007946206.0,8007914829.0,8008211636.0,8008172581.0,8008156751.0,8008149536.0,8008298659.0,8008639363.0,8008950960.0
instructions per cycle,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.1,1.12,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.11,1.14,1.14,1.14,1.14,1.14,1.14
"time (s)
",2.42595456,2.125614806,2.126538302,2.126677311,2.256792721,2.124938203,2.21201591,2.207546271,2.181492476,2.125690279,2.125493961,2.126572516,2.124943915,2.292489001,2.125062152,2.206902604,2.124977134,2.125746279,2.179530531,2.189295467,2.125194404,2.126114974,2.125724173,2.127438744,2.337615908
estimated number of instructions,7991385081.959999,7991484689.459999,7990825898.28,7996060683.659999,8029066512.349999,7990477926.959999,7993892143.74,8009135673.000001,8000242615.68,7991530585.86,7990810043.159999,7990061075.699999,7990622361.539999,7994869026.839999,7991574783.659999,7991198027.339999,7989982779.36,7990724980.919999,7979909249.52,7992160736.82,7990201839.48,7991472734.28,7993344865.079999,7992457126.559999,7992071080.379999
instruction calculation error,-0.0022208766405656414,-0.0020640071325677013,-0.002158655785753673,-0.001510881680721029,0.0025242765754097643,-0.0022078969438140495,-0.0018034836428350543,9.445544192158719e-05,-0.0009750798562117437,-0.0021847133141555918,-0.0021537501522290044,-0.002261452821090358,-0.0022193134015149074,-0.0017819906939781748,-0.0020448267096517805,-0.002162997497012044,-0.002243200213625454,-0.0021466072563296086,-0.0035341706446379863,-0.001999437951423478,-0.0022420779310742614,-0.002082478810495612,-0.0018672872424900693,-0.0020205974706218686,-0.0021076267921112156
predicted cycles,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0
cycles prediction error,0.12375163575,0.123740713875,0.12381294975,0.123238960125,0.111828925625,0.1238511045,0.123476738625,0.08987094625,0.1071157795,0.123735681375,0.12381468825,0.123896811875,0.123835267375,0.12336962425,0.123730835125,0.123772146125,0.123905397,0.12382401525,0.101361571,0.123666585875,0.12388137725,0.12374202475,0.12353674725,0.123634087,0.123676416625
prediction to actual cycles,1.1412289492328145,1.1412147247217284,1.1413088103900564,1.1405616291328025,1.125909218225434,1.1413585123899754,1.140871034536268,1.098745277803961,1.1199660348348601,1.1412081705770711,1.141311074939964,1.1414180584597104,1.1413378817519715,1.1407316329239119,1.1412018590687831,1.1412556626425814,1.1414292435722264,1.1413232243352696,1.1127946098552615,1.1411181907270744,1.141397950041463,1.1412164319699298,1.1409491463131967,1.141075873862748,1.1411309919889214
p2a ratio to instruction rate error,0.0010780256428198072,0.0010655480015161888,0.0011480792895232287,0.0004926571340373287,-0.0036201608624476986,0.0011916775350662547,0.0007640653826913455,-0.0011406565418536907,-3.0326040303555297e-05,0.0010597987518168707,0.0011500657368105915,0.0012439109295706557,0.0011735804841855977,0.0006417832665894602,0.00105426234103792,0.0011014584584048061,0.001253722431777643,0.0011607231011137344,0.0025176665362715,0.0009808690588373075,0.0012262719661957433,0.0010670455876578351,0.0008325844852603142,0.0009437490024106143,0.0009920982358960753
