CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.0,701523071545,3.556,800261343401,1.14,197.2541271
1.0,701782895282,3.547,800200004649,1.14,197.837189895
1.0,703010913772,3.549,800198374584,1.14,198.089256206
1.0,701210039659,3.57,800196794373,1.14,196.414607523
1.0,701216629481,3.546,800197528349,1.14,197.731505767
1.0,704646641150,3.549,800198856443,1.14,198.550623181
1.0,701106810617,3.547,800200521989,1.14,197.622347437
1.0,701242395946,3.544,800198347925,1.14,197.830140374
1.0,701087838651,3.568,800197532777,1.14,196.481615144
1.0,703360215221,3.543,800201050586,1.14,198.512097015
1.0,701387384887,3.554,800200894829,1.14,197.359333567
1.0,701188597795,3.561,800199145117,1.14,196.885962063
1.0,701262133993,3.558,800198136336,1.14,197.078668866
1.0,701339091158,3.552,800199653622,1.14,197.430266093
1.0,701615671168,3.558,800198765825,1.14,197.189337207
1.0,701200343472,3.561,800197393666,1.14,196.903998384
1.0,701234438528,3.546,800201552722,1.14,197.737336018
1.0,704989625057,3.552,800301831631,1.14,198.447284653
1.0,701541024902,3.551,800287858812,1.14,197.544315561
1.0,702712713254,3.552,800200891582,1.14,197.812519378
1.0,701123795727,3.556,800198730791,1.14,197.156414141
1.0,701283832916,3.566,800201555501,1.14,196.620816788
1.0,701308782215,3.549,800200210687,1.14,197.59166834
1.0,706042473858,3.559,800200181888,1.13,198.356002641
1.0,706021155781,3.564,800200011957,1.13,198.084895668
