8000000_cycles,7581360,7570660,7924262,7995965,7974766,7682571,7590056,8028464,7914682,7509717,7584931,8149458,7644909,7493248,7814176,7779936,7545753,7495723,8290018,8010372,7563349,7573178,8492280,7501908,7535858,7623869,7578716,7668384,7899434,8055011,7568193,7584787,8097352,7764333,7543323,7586690,8252788,7639718,7524416,7682406,8099101,7518920,7501933,7977590,8016505,7589245,7493627,7723802,7795600,7580409
8000000000_cycles,7035908224,7029909840,7030947484,7033174304,7027402929,7036315333,7043156173,7032904531,7027755025,7034007466,7030881488,7044342487,7052919838,7046771610,7042784476,7043588764,7050331387,7045040550,7052653769,7046322449,7029578000,7050082912,7070326235,7055227625,7055039398,7016603106,7067950965,7013719201,7027776261,7014767148,7043437824,7016726808,7015546358,7034528091,7015590252,7024280623,7018581303,7018364153,7015295138,7018555489,7017735691,7035649835,7083893680,7024791679,7022300024,7029814108,7016233859,7031386227,7017003763,7028910490
80000000000_cycles,70145051908,70310139179,70112723053,70104989453,70165934273,70113856707,70348080915,70126676039,70178260108,70158618673,70254626063,70182126600,70552135802,70116678544,70248340465,70564402484,70162518182,70156916537,70134856776,70128269916,70568224459,70132977281,70378032055,70124621755,70236333728,,,,,,,,,,,,,,,,,,,,,,,,,
800000000000_cycles,701523071545,701782895282,703010913772,701210039659,701216629481,704646641150,701106810617,701242395946,701087838651,703360215221,701387384887,701188597795,701262133993,701339091158,701615671168,701200343472,701234438528,704989625057,701541024902,702712713254,701123795727,701283832916,701308782215,706042473858,706021155781,,,,,,,,,,,,,,,,,,,,,,,,,
2000000000000_cycles,1752898110763,1752996617770,1761564370308,1753287698979,1753056564748,1752994070176,1752943061162,1763073568201,1753137027419,1753322398760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000000000000_cycles,3506102629626,3523027769267,3526649833047,3529918118224,3515506796016,3526863476637,3506618624801,3506200669018,3506290881244,3505948406237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000000000000_cycles,5280215060267,5294620786438,5259151091500,5259070381659,5286268445474,5259032092759,5272237654684,5259044448264,5259577140355,5259555289682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000000000000_cycles,7030090158364,7039178051691,7038355324425,7032396265989,7011930404335,7012123851020,7016671514836,7033642266285,7021160549367,7014980899600,7014121772904,7015143542570,7015011730935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.594 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
