avg_cycles,8000000,8000000000,80000000000,800000000000,2000000000000,4000000000000,6000000000000,8000000000000
Predicted,8000000,8000000000,80000000000,800000000000,2000000000000,4000000000000,6000000000000,8000000000000
Predicted,0,0,0,0,0,0,0,0
D_2-6,7040013.48,6282868242.68,63054633435.2,629301577664.96,1577728672280.1,3154656794968.4,4722115827881.5,6303734936294.15
D_2-6,245568.527643716,15535360.0041167,217696040.785059,1787496094.16022,3405303113.3681,12880032109.4314,10324832647.4224,15658539858.8502
D_3-5,7012281.4,6281937510.72,62843746353.36,629426542546.28,1572976602076.1,3142745269234.3,4723433240019.5,6284839802828.8
D_3-5,173298.466509027,19425053.4151066,95812127.5248957,1413150620.22083,4907149675.25048,8754955708.15908,12152424778.3983,13695338360.4409
L_2-6,7676523.72,7030268470.84,70383999904.72,703558590838.36,1755525819366.4,3515418161852.1,5266301412499.8,7028452040053.9
L_2-6,78569.5368058099,5451363.82150734,172700579.298171,962274959.321895,255004160.296139,8105514811.32129,1696696642.72144,13237408464.0194
L_3-5,7734646.08,7026777683.04,70228215638.2,702177540641.4,1754927348828.6,3515312720411.7,5268877239108.2,7017198503539.11
L_3-5,115925.270105237,8695386.52831966,75158734.7585255,815411857.371567,3188658843.54616,8357583542.35202,11072460986.8468,5786186215.4799
