D_2-6,,,
,Avg,Std,CI
8000000,1.1408064312,0.0685590508,0.0353216229
8000000000,1.2733318854,0.0060960414,0.0031406805
80000000000,1.2687953072,0.0084387219,0.0043476295
800000000000,1.2712875457,0.0069830141,0.0035976489
2000000000000,1.2676530809,0.0033522976,0.0027307907
4000000000000,1.2679954196,0.0063503561,0.0051730174
6000000000000,1.2706250995,0.0034095571,0.0027774345
8000000000000,1.2691112463,0.0054560358,0.0031427372
,,,
D_3-5,,,
,Avg,Std,CI
8000000,1.1431638807,0.0502538254,0.0258907708
8000000000,1.27353621,0.0075947994,0.0039128407
80000000000,1.2730092989,0.0037723643,0.0019435221
800000000000,1.2710213438,0.0055332346,0.0028507225
2000000000000,1.2714915177,0.0048708012,0.0039677679
4000000000000,1.2727859889,0.0043571505,0.0035493467
6000000000000,1.2702738963,0.0040179412,0.0032730259
8000000000000,1.2729125749,0.0034113042,0.0027788577
,,,
L_2-6,,,
,Avg,Std,CI
8000000,1.042526883,0.0203769952,0.0104982279
8000000000,1.1379390998,0.0017105096,0.0008812545
80000000000,1.136646471,0.0053608128,0.0027618908
800000000000,1.1370842587,0.003010895,0.0015512131
2000000000000,1.1392598361,0.0002031724,0.0001655048
4000000000000,1.1378528936,0.0032079027,0.0026131663
6000000000000,1.1393196809,0.0004505499,0.0003670192
8000000000000,1.1382361722,0.0026219826,0.0021358742
,,,
L_3-5,,,
,Avg,Std,CI
8000000,1.0351283229,0.0294102651,0.0151521686
8000000000,1.1385082099,0.0027206404,0.0014016739
80000000000,1.1391479865,0.0023594955,0.0012156121
800000000000,1.1393185378,0.0025594779,0.001318643
2000000000000,1.1396534038,0.0025338201,0.0020640567
4000000000000,1.1378875672,0.0033182063,0.0027030199
6000000000000,1.1387693413,0.0029316008,0.00238809
8000000000000,1.1400570388,0.0010930016,0.0009385241
