session_id,ttc_super_gt_max_ttc_osg,tq_super_gt_max_ttc_osg,tq_super_lt_max_ttc_osg,ttc_osg_gt_max_ttc_super,tq_osg_gt_max_tq_super,tq_osg_lt_max_tq_super
017469_0000,0,0,0,1,0,1
017469_0001,0,0,0,1,1,0
017469_0002,0,0,0,1,1,0
017470_0001,0,0,0,1,1,0
017472_0001,0,0,0,1,1,0
017470_0000,0,0,0,1,1,1
017472_0000,0,0,0,1,1,0
017465_0001,0,0,0,1,1,0
017462_0001,0,0,0,1,1,0
017463_0001,0,0,0,1,1,1
017463_0000,0,0,0,1,1,1
017478_0002,0,0,0,1,0,1
017479_0000,0,0,0,1,1,0
017476_0000,0,0,0,1,1,0
017475_0004,0,0,0,1,1,0
017474_0003,0,0,0,1,1,0
017475_0005,0,0,0,1,1,0
