CPU utilized,cycles,clock speed,instructions,instructions per cycle,time (s)
1.0,625793167534,3.5,800177102370,1.28,178.808353771
1.0,626951804162,3.5,800177053478,1.28,179.139778978
1.0,628945790028,3.5,800178988171,1.27,179.699331773
1.0,625946044537,3.5,800180779901,1.28,178.842150512
1.0,631824057987,3.5,800286539564,1.27,180.521779744
1.0,629666138394,3.5,800170335690,1.27,179.905343754
1.0,625740490754,3.5,800184402225,1.28,178.784492613
1.0,625625480022,3.5,800177854914,1.28,178.760861212
1.0,629304766835,3.5,800177750318,1.27,179.80205929
1.0,631946049084,3.5,800251454960,1.27,180.556795263
1.0,634589918280,3.5,800267089506,1.26,181.312338775
1.0,630625200290,3.5,800232973215,1.27,180.17995999
1.0,629624642062,3.5,800180655687,1.27,179.893491977
1.0,633813199881,3.5,800247495194,1.26,181.090310273
1.0,630450577088,3.5,800178228694,1.27,180.129853997
1.0,629419115047,3.5,800177870969,1.27,179.83519614
1.0,625514800901,3.5,800179661783,1.28,178.720146188
1.0,629540055746,3.5,800176872834,1.27,179.869298736
1.0,626908879298,3.5,800177489008,1.28,179.128127682
1.0,634620925493,3.5,800266492614,1.26,181.32168235
1.0,630426989973,3.5,800177978861,1.27,180.123829291
1.0,629527207003,3.5,800178260642,1.27,179.866777741
1.0,632018707289,3.5,800179358222,1.27,180.57848499
1.0,627452334981,3.5,800178708155,1.28,179.273428592
1.0,629387220988,3.5,800178216825,1.27,179.826427773
