CPU utilized,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cycles,7064858176.0,7063612386.0,7062979344.0,7041775950.0,7056965709.0,7042155086.0,7059514707.0,7048275352.0,7041305466.0,7039098412.0,7039488371.0,7041943434.0,7048328909.0,7039782307.0,7038294860.0,7043634629.0,7046724888.0,7048435713.0,7065543961.0,7046042459.0,7043689456.0,7083036895.0,7032718602.0,7042216139.0,7046408691.0
clock speed,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594,2.594
instructions,8003250017.0,8003264289.0,8003203646.0,8003239345.0,8003323137.0,8003327372.0,8003261580.0,8003253643.0,8003217235.0,8003218202.0,8004121234.0,8003267697.0,8003277689.0,8003242970.0,8003256172.0,8003237946.0,8003311649.0,8003224952.0,8003239089.0,8003256559.0,8003233419.0,8003245633.0,8003250082.0,8003953398.0,8003293608.0
instructions per cycle,1.13,1.13,1.13,1.14,1.13,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.13,1.14,1.14,1.13,1.14,1.14,1.14
"time (s)
",2.723942025,2.723446047,2.723108105,2.715003694,2.721405542,2.715175865,2.721861054,2.71748099,2.71476506,2.713942544,2.71411425,2.715046754,2.717488963,2.714254336,2.713637858,2.71564792,2.716846837,2.717576446,2.7240943,2.716732238,2.715704543,2.730844207,2.711541295,2.715078401,2.716805779
estimated number of instructions,7983289738.879999,7981881996.179999,7981166658.719999,8027624582.999999,7974371251.169999,8028056798.039999,7977251618.909999,8035033901.28,8027088231.24,8024572189.679999,8025016742.94,8027815514.759999,8035094956.259999,8025351829.98,8023656140.4,8029743477.059999,8033266372.32,8035216712.82,7984064675.929999,8032488403.259999,8029805979.839999,8003831691.349999,8017299206.28,8028126398.459999,8032905907.74
instruction calculation error,-0.0024940215634401616,-0.0026716964538318834,-0.0027535207467842917,0.0030469209964629697,-0.0036174830547768344,0.0030898931020260415,-0.003249920151928997,0.003970917291593795,0.0029826750341857703,0.002668175119186804,0.0026105937590299596,0.0030672243750138393,0.003975529588799612,0.0027624876644223063,0.0025489585690597356,0.0033118509331897185,0.003742791063714542,0.003997358691261699,-0.0023958315947795183,0.0036524937123409884,0.0033202281439042953,7.322758501662344e-05,0.0017554273746358902,0.0030201325842351043,0.003700014167967005
predicted cycles,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0
cycles prediction error,0.116892728,0.11704845175,0.117127582,0.11977800625,0.117879286375,0.11973061425,0.117560661625,0.118965581,0.11983681675,0.1201126985,0.120063953625,0.11975707075,0.118958886375,0.120027211625,0.1202131425,0.119545671375,0.119159389,0.118945535875,0.116807004875,0.119244692625,0.119538818,0.114620388125,0.12091017475,0.119722982625,0.119198913625
prediction to actual cycles,1.1323652649074778,1.132564977072625,1.1326664868128204,1.136077043178291,1.1336316952479044,1.136015878989121,1.133222371796668,1.13502943634714,1.1361529532597614,1.1365091850913591,1.1364462271089104,1.1360500229772224,1.13502081178204,1.1363987764288122,1.1366389387102205,1.1357772544110194,1.1352791725448725,1.1350036129640728,1.1322553570054845,1.1353891275210097,1.135768413694813,1.1294590326992784,1.1375401822170048,1.136006030217642,1.1353301164915357
p2a ratio to instruction rate error,0.0020931547853786764,0.002269891214712426,0.0023597228432040325,-0.003441190194481541,0.0032138895999155054,-0.003494842991999001,0.002851656457228476,-0.004360143555140229,-0.003374602403717985,-0.0030621183409129675,-0.003117344641306571,-0.003464892125243466,-0.004367708963122764,-0.003158968044901536,-0.0029482993769994925,-0.003704162797351319,-0.004141076715024003,-0.004382795645550075,0.0019958911552961293,-0.004044624981570324,-0.003711917811567492,-0.0004787321245323067,-0.002157734897364113,-0.003503482265226217,-0.004096389042512458
