D_2-6,,,
,Avg,Std,CI
8000000,2.68848,0.0274546899,0.0141446563
8000000000,2.7,0,0
80000000000,2.7,0,0
800000000000,2.7,0,0
2000000000000,2.7,0,0
4000000000000,2.7,0,0
6000000000000,2.7,0,0
8000000000000,2.7,0,0
,,,
D_3-5,,,
,Avg,Std,CI
8000000,3.49532,0.0019731531,0.0010165685
8000000000,3.5,0,0
80000000000,3.5,0,0
800000000000,3.5,0,0
2000000000000,3.5,0,0
4000000000000,3.5,0,0
6000000000000,3.5,0,0
8000000000000,3.5,0,0
,,,
L_2-6,,,
,Avg,Std,CI
8000000,2.58716,0.0198277583,0.0102152611
8000000000,2.594,0,0
80000000000,2.594,0,0
800000000000,2.594,0,0
2000000000000,2.594,0,0
4000000000000,2.594,0,0
6000000000000,2.594,0,0
8000000000000,2.594,0,0
,,,
L_3-5,,,
,Avg,Std,CI
8000000,3.14964,0.1496673756,0.0771086319
8000000000,3.48292,0.0043197222,0.0022255209
80000000000,3.55252,0.0209843593,0.0108111419
800000000000,3.55432,0.0076360985,0.0039341179
2000000000000,3.5545,0.004790036,0.0039019763
4000000000000,3.5572,0.0096355822,0.0078491715
6000000000000,3.5583,0.0057551909,0.0046881942
8000000000000,3.5518888889,0.0025221243,0.0021656641
