D_2-6,,,
,Avg,Std,CI
8000000,1.2008,0.0711758386,0.036669792
8000000000,1.2744,0.0065064071,0.0033521009
80000000000,1.2696,0.0093452305,0.0048146628
800000000000,1.2724,0.0072341781,0.0037270486
2000000000000,1.268,0.0042163702,0.0034346667
4000000000000,1.269,0.0073786479,0.0060106667
6000000000000,1.272,0.0042163702,0.0034346667
8000000000000,1.27,0.0056195149,0.003236903
,,,
D_3-5,,,
,Avg,Std,CI
8000000,1.2056,0.0535474867,0.0275876652
8000000000,1.274,0.008660254,0.0044617629
80000000000,1.2728,0.0045825757,0.002360943
800000000000,1.272,0.0064549722,0.0033256017
2000000000000,1.271,0.0056764621,0.0046240615
4000000000000,1.273,0.0048304589,0.003934905
6000000000000,1.27,0.0047140452,0.0038400741
8000000000000,1.272,0.0042163702,0.0034346667
,,,
L_2-6,,,
,Avg,Std,CI
8000000,1.1028,0.0220831761,0.0113772523
8000000000,1.1396,0.002,0.0010304
80000000000,1.1376,0.0059721576,0.0030768556
800000000000,1.1376,0.0043588989,0.0022457047
2000000000000,1.14,0,0
4000000000000,1.138,0.0042163702,0.0034346667
6000000000000,1.14,0,0
8000000000000,1.139,0.0031622777,0.002576
,,,
L_3-5,,,
,Avg,Std,CI
8000000,1.0944,0.0315013227,0.0162294815
8000000000,1.1392,0.0027688746,0.0014265242
80000000000,1.1388,0.0033166248,0.0017087251
800000000000,1.1392,0.0027688746,0.0014265242
2000000000000,1.139,0.0031622777,0.002576
4000000000000,1.137,0.0048304589,0.003934905
6000000000000,1.139,0.0031622777,0.002576
8000000000000,1.14,0,0
