D_2-6,,,
,Avg,Std,CI
8000000,7040013.48,476646.986886095,245568.527643716
8000000000,6282868242.68,30154037.2750713,15535360.0041167
80000000000,63054633435.2,422546663.014478,217696040.785059
800000000000,629301577664.96,3469518816.30477,1787496094.16022
2000000000000,1577728672280.1,4180323742.82056,3405303113.3681
4000000000000,3154656794968.4,15811427718.1313,12880032109.4314
6000000000000,4722115827881.5,12674684637.3917,10324832647.4224
8000000000000,6303734936294.15,27184440646.5676,15658539858.8502
,,,
D_3-5,,,
,Avg,Std,CI
8000000,7012281.4,336371.247106031,173298.466509027
8000000000,6281937510.72,37703908.0262162,19425053.4151066
80000000000,62843746353.36,185970744.41944,95812127.5248957
800000000000,629426542546.28,2742916576.51558,1413150620.22083
2000000000000,1572976602076.1,6023978956.96704,4907149675.25048
4000000000000,3142745269234.3,10747515858.5695,8754955708.15908
6000000000000,4723433240019.5,14918222590.6854,12152424778.3983
8000000000000,6284839802828.8,16812291360.8965,13695338360.4409
,,,
L_2-6,,,
,Avg,Std,CI
8000000,7676523.72,152502.982930532,78569.5368058099
8000000000,7030268470.84,10581063.3181431,5451363.82150734
80000000000,70383999904.72,335210751.743345,172700579.298171
800000000000,703558590838.36,1867769719.1807,962274959.321895
2000000000000,1755525819366.4,313041133.289781,255004160.296139
4000000000000,3515418161852.1,9950267240.68526,8105514811.32129
6000000000000,5266301412499.8,2082851665.12449,1696696642.72144
8000000000000,7028452040053.9,16250140164.7098,13237408464.0194
,,,
L_3-5,,,
,Avg,Std,CI
8000000,7734646.08,225010.229241532,115925.270105237
8000000000,7026777683.04,16877691.2428565,8695386.52831966
80000000000,70228215638.2,145882637.341858,75158734.7585255
800000000000,702177540641.4,1582709350.48829,815411857.371567
2000000000000,1754927348828.6,3914372914.14766,3188658843.54616
4000000000000,3515312720411.7,10259704863.7309,8357583542.35202
6000000000000,5268877239108.2,13592467399.7638,11072460986.8468
8000000000000,7017198503539.11,6738570903.121,5786186215.4799
