D_2-6,,,
,Avg,Std,CI
8000000,-0.0500062991,0.0022472988,0.0011578083
8000000000,-0.0008348278,0.0019270065,0.0009927938
80000000000,-0.0006260395,0.0024838524,0.0012796807
800000000000,-0.0008718127,0.0017459536,0.0008995153
2000000000000,-0.0002703211,0.0017848804,0.0014539684
4000000000000,-0.0007870102,0.0012557681,0.0010229522
6000000000000,-0.0010760461,0.0026510195,0.0021595277
8000000000000,-0.0006977771,0.00179191,0.0010321601
,,,
D_3-5,,,
,Avg,Std,CI
8000000,-0.0517630561,0.0026144765,0.0013469783
8000000000,-0.00035662,0.0021890397,0.0011277933
80000000000,0.000168026,0.0018191813,0.0009372422
800000000000,-0.0007647396,0.0016948877,0.0008732061
2000000000000,0.0003903286,0.0016595774,0.0013518963
4000000000000,-0.0001659996,0.001429167,0.0011642033
6000000000000,0.0002183812,0.0014996503,0.0012216192
8000000000000,0.0007203707,0.0016579003,0.0013505301
,,,
L_2-6,,,
,Avg,Std,CI
8000000,-0.0546401449,0.0032430207,0.0016708043
8000000000,-0.0014557289,0.0016525467,0.0008513921
80000000000,-0.0008350526,0.0010752387,0.000553963
800000000000,-0.0004474888,0.0021283307,0.001096516
2000000000000,-0.0006492666,0.0001782214,0.0001451796
4000000000000,-0.0001260782,0.0011324147,0.0009224681
6000000000000,-0.0005967712,0.0003952192,0.0003219466
8000000000000,-0.0006684373,0.001551068,0.0012635042
,,,
L_3-5,,,
,Avg,Std,CI
8000000,-0.0541445634,0.0033182597,0.0017095674
8000000000,-0.0006064632,0.0012044188,0.0006205166
80000000000,0.0003087551,0.0015517095,0.0007994407
800000000000,0.0001059016,0.0017225221,0.0008874434
2000000000000,0.0005765633,0.0019097169,0.0015556606
4000000000000,0.000787529,0.0023994012,0.0019545588
6000000000000,-0.0001998282,0.0022012023,0.0017931054
8000000000000,5.00340709461929E-05,0.0009587734,0.0008232667
