D_2-6,,,
,Avg,Std,CI
8000000,8424303.2,9022.4993534682,4648.3916669068
8000000000,8003073608.72,993809.576197134,512010.693656763
80000000000,80025807856.2,3507211.21936876,1806915.22021878
800000000000,800256942640.04,47374506.8534353,24407345.9308899
2000000000000,2000748926894.2,151384857.927713,123318517.830918
4000000000000,4001421997534.1,329601065.432978,268493926.150097
6000000000000,6001946197095.2,334703344.495225,272650256.579237
8000000000000,8002738841333.55,535396418.425607,308394285.804867
,,,
D_3-5,,,
,Avg,Std,CI
8000000,8431691.48,13722.8643150765,7070.0196951274
8000000000,8002362374.76,199583.78202906,102825.564501372
80000000000,80018340778.8,657235.229929196,338607.590459522
800000000000,800197584552,36131251.6216487,18614820.8354734
2000000000000,2000520983408.8,101349516.1031,82559592.0213037
4000000000000,4001053041492.4,211019608.55056,171897148.208453
6000000000000,6001395002234.9,160668569.770366,130881054.798466
8000000000000,8001774756308.2,7503866.88742402,6112670.41647919
,,,
L_2-6,,,
,Avg,Std,CI
8000000,8461583,13438.9153270146,6923.7291764779
8000000000,8003586635.12,800440.909360914,412387.156502743
80000000000,80028706202.72,3039041.64808177,1565714.25709173
800000000000,800300092188.4,48042341.8730173,24751414.5329785
2000000000000,2000714410445.9,90873186.9678791,74025545.757039
4000000000000,4001404143150.8,80344543.3737277,65448883.9919586
6000000000000,6002087941295.7,86526865.9428275,70485020.8051798
8000000000000,8002833301081.8,113332250.994055,92320760.5195368
,,,
L_3-5,,,
,Avg,Std,CI
8000000,8456786.36,8666.8620517078,4465.1673290399
8000000000,8002666393.8,317468.227797681,163559.630961365
80000000000,80022705291.08,3885715.24477873,2001920.49411
800000000000,800209486801.68,28616110.0203723,14743019.8824958
2000000000000,2000497930032,4287689.87083047,3492763.85384552
4000000000000,4000997041051.6,5856358.58344539,4770605.66217074
6000000000000,6001490676261.4,8270093.61415953,6736840.79624451
8000000000000,8002238583018.44,238966402.893787,205192484.618132
