avg_cycles,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000,4000000000000,800000000000,80000000000,8000000000000,2000000000000,8000000000,8000000,6000000000000
Average,3524601936884.3,704566037314.16,70086911454.68,7008782146384.875,1766309383567.8,7010093621.72,7750278.24,5256358211112.1,3504265943722.9,703389026720.0,70193909379.24,7008502095722.8,1752270363578.2,7021752593.04,7696187.6,5257033879375.8
Std,13932775723.686628,2614386939.9517794,6722071.975648554,872553872.7475164,1046337370.6759588,1353174.4962215244,62476.24247882817,289518074.918982,268554876.1175551,6671747009.892508,371672280.1013392,588840327.1531471,292202616.898815,40372573.689410634,49744.96215949913,783091088.5298318
CI,11349677074.942781,1346932151.4631567,3463211.4818541347,794681523.3570143,852349273.6933644,697155.5004533294,32187.760125092278,235842212.8408505,218765533.96705407,3437284059.49662,191485558.70820996,479670935.24157524,238029048.05369565,20799949.96478436,25628.604504573952,637908134.842731
